month_id,city_id,category,total_revenue,total_cost,net_profit,discount_amount,avg_rating
4,5,Sofa,33044.37,21992.61,9440.7,1565.11,4.3
11,3,Study Desk,35714.3,33137.31,14789.86,3939.7,1.8
6,1,Office Furniture,34354.34,32579.04,10443.89,3285.86,2.1
11,1,Dining Table,28249.47,34349.3,4983.77,3700.81,3.5
11,1,Office Furniture,13006.81,28256.89,9664.99,1318.73,2.7
6,4,Sofa,15066.99,38163.66,19516.65,2416.75,1.8
6,5,Dining Table,41864.57,16064.17,7775.25,2302.25,3.9
12,8,Bed,34493.89,39695.49,16958.52,4886.06,4.1
3,5,Dining Table,26901.32,37247.11,8647.21,951.95,1.9
10,2,Wardrobe,49150.89,11351.08,8509.78,4236.05,3.0
3,6,Sofa,36168.77,35561.26,3044.03,2647.0,2.3
4,7,Wardrobe,35359.08,22338.32,7490.98,1411.2,1.6
12,5,Bar Stool,39730.92,33949.48,15897.28,3528.46,3.5
7,5,Study Desk,26344.98,27356.19,3232.48,3066.07,3.3
7,3,Bed,29814.26,33118.08,8020.35,1948.92,1.4
6,2,Dining Table,22711.3,17762.83,2674.81,3820.4,1.1
10,6,Bed,46262.05,8610.78,5460.68,1271.05,3.6
12,5,Dining Table,49605.92,34190.67,2299.68,1001.01,3.1
4,3,Office Furniture,41194.99,29932.82,10693.83,615.41,4.9
9,9,Wardrobe,40433.77,26408.52,14521.91,3184.22,3.8
7,3,Dining Table,23194.4,33355.6,2295.71,2674.47,4.8
7,6,Wardrobe,32827.64,12765.35,11329.59,1619.75,2.3
5,8,Sofa,10004.99,36015.25,3518.04,4065.16,4.0
9,8,Wardrobe,10774.51,5633.2,7511.57,2000.96,3.1
12,8,Bar Stool,14695.22,23796.07,15792.85,3909.01,4.3
4,2,Bed,37535.58,15025.48,16855.42,3270.63,2.1
1,8,Office Furniture,24720.14,23153.06,1545.15,4430.25,2.6
9,10,Bar Stool,24963.06,11809.82,10172.79,1586.71,4.3
1,3,Wardrobe,49892.48,17320.42,3909.8,753.79,3.3
5,4,Office Furniture,40133.13,36622.21,2157.95,4797.27,2.4
1,5,Sofa,12460.31,8661.95,14306.57,2168.15,3.3
7,3,Dining Table,44553.98,20072.24,12238.76,4396.1,4.9
1,9,Study Desk,39805.9,28268.06,7846.22,4756.54,3.2
10,8,Office Furniture,25436.68,19744.6,1558.42,3728.13,3.9
7,6,Office Furniture,22708.9,15033.79,15692.39,1486.73,3.6
7,6,Wardrobe,42721.2,17356.51,1940.54,2110.9,3.7
5,2,Bar Stool,27669.86,37349.5,10957.05,4866.0,3.7
9,10,Sofa,42703.8,27346.0,10581.84,3066.94,4.3
2,10,Sofa,32561.55,37337.25,6775.6,2396.15,2.9
4,5,Office Furniture,36421.42,32250.8,12965.4,4425.92,4.9
3,9,Office Furniture,11436.95,5085.03,5751.89,972.73,4.2
1,3,Study Desk,42224.03,9266.45,10726.03,4619.89,1.6
9,9,Sofa,35812.34,31095.46,18316.07,3168.45,3.0
10,4,Wardrobe,28561.14,16240.17,9766.97,1315.32,3.7
2,1,Wardrobe,18553.54,6747.16,9929.74,4099.21,1.9
9,7,Bar Stool,42430.14,30235.77,12936.99,3152.31,2.1
1,8,Dining Table,29298.43,13673.29,3755.25,3129.66,4.1
5,8,Study Desk,27600.54,30787.29,14394.02,2535.38,4.0
7,8,Study Desk,22674.41,33156.34,7361.1,3572.41,3.7
6,9,Bed,26635.77,29883.5,17913.31,804.62,2.2
7,10,Bed,14763.98,11253.9,4633.27,4839.56,3.8
1,9,Sofa,33213.47,25539.53,2774.24,2146.52,4.6
1,8,Office Furniture,10409.56,5679.92,6213.97,3356.47,4.5
7,9,Study Desk,11349.02,23159.66,12930.35,773.49,2.9
12,1,Dining Table,46131.21,17447.42,9786.65,3060.98,1.5
7,3,Sofa,28736.79,23396.56,3945.02,3890.68,1.5
9,6,Wardrobe,19514.53,27591.49,6490.7,925.22,2.9
1,10,Office Furniture,23976.4,20525.64,4343.04,4871.57,1.6
6,9,Wardrobe,21713.52,22320.32,18402.25,898.45,3.5
7,1,Dining Table,16701.52,27792.36,11848.48,4132.18,1.2
4,4,Study Desk,14641.93,29681.37,5101.04,506.29,4.5
4,1,Wardrobe,48778.61,14848.73,7503.83,1881.88,3.6
8,6,Study Desk,27216.88,7708.65,12988.63,3981.19,4.8
3,6,Office Furniture,26189.4,7971.5,4380.26,2600.55,3.8
10,9,Study Desk,36218.54,32610.65,11249.94,4257.74,1.9
10,8,Wardrobe,22553.0,9318.62,9124.36,3041.36,2.8
11,8,Bed,22969.61,10710.8,14685.24,2821.76,4.0
5,6,Study Desk,34752.55,25699.98,19766.46,4252.78,3.2
5,8,Sofa,21709.29,11533.79,19171.4,4948.95,4.7
1,6,Bar Stool,15876.78,29681.33,13093.93,2353.87,1.9
11,5,Study Desk,43249.78,32036.6,13550.6,3342.98,4.3
10,7,Office Furniture,25098.76,30965.19,6733.84,4725.29,2.3
10,3,Study Desk,40521.12,30675.6,16357.96,4343.7,3.4
8,4,Office Furniture,17957.71,13507.83,4085.24,3861.44,3.3
9,3,Wardrobe,28891.04,36146.33,2482.99,2250.33,1.6
12,2,Wardrobe,10097.19,17957.04,10559.39,765.29,2.7
5,1,Office Furniture,18843.83,21416.63,15512.54,2420.83,1.6
11,8,Bed,32439.42,9696.6,17161.82,3336.35,1.2
4,2,Bed,30966.56,21680.9,16968.0,4295.82,3.9
11,8,Office Furniture,42883.21,26367.08,12274.64,2065.61,2.7
2,1,Bar Stool,32295.83,20953.09,13780.85,2193.89,3.8
3,4,Office Furniture,23722.17,24539.05,16595.26,4027.53,2.4
5,9,Bar Stool,39493.77,19561.44,2277.51,672.13,4.5
10,8,Wardrobe,14664.36,31650.26,8404.95,1478.37,1.9
12,8,Bar Stool,30494.58,37951.06,11694.11,2815.02,2.4
4,1,Sofa,15331.61,9403.76,11426.48,2303.28,2.3
6,6,Wardrobe,19363.56,32229.92,19796.57,1748.79,4.0
7,5,Bar Stool,16295.39,29898.74,6087.7,4475.45,1.6
5,8,Office Furniture,31126.67,29178.79,3752.28,3753.3,4.6
3,6,Bar Stool,39390.72,16885.72,6469.88,545.69,3.8
8,3,Bed,48911.06,34820.52,3191.87,4288.09,3.4
11,1,Dining Table,13749.67,28073.89,2257.09,623.32,3.9
4,4,Office Furniture,42737.94,17538.45,3320.81,2448.29,3.3
3,9,Wardrobe,32183.97,29860.32,17150.73,4887.56,2.9
6,5,Bar Stool,22116.07,16082.37,4996.47,3391.59,2.7
10,2,Sofa,36874.76,12382.29,12927.3,4483.27,4.4
12,7,Wardrobe,49125.06,21750.02,3706.96,1656.72,4.3
1,6,Bar Stool,27404.71,29862.4,14155.88,3551.85,1.1
8,3,Sofa,37076.81,26732.57,6351.43,598.23,2.6
12,2,Dining Table,31547.64,31111.73,17166.9,4685.64,1.9
1,4,Sofa,18639.19,21005.96,6882.05,999.44,4.9
8,5,Office Furniture,37452.55,30567.08,15821.53,969.21,4.5
11,7,Study Desk,36059.98,12413.91,9716.08,1914.63,4.7
4,5,Bed,29625.14,36955.79,6897.23,4524.27,4.0
9,3,Office Furniture,47011.69,13155.56,7227.54,4567.92,1.1
8,10,Office Furniture,14999.84,6612.77,16104.43,4879.96,3.9
5,2,Bar Stool,46837.14,37311.77,14220.54,3249.52,2.4
5,6,Wardrobe,29611.32,23027.14,19020.13,625.7,4.6
5,8,Study Desk,16222.82,29794.73,11595.18,634.81,1.4
10,2,Sofa,17196.82,17326.2,1507.68,2209.99,1.2
10,10,Bed,40231.71,33885.74,11549.84,1278.89,3.8
4,8,Dining Table,14949.79,38475.24,4073.1,3506.04,4.0
7,9,Dining Table,32504.21,6984.81,17146.98,4077.15,3.8
1,6,Bar Stool,16793.83,9623.87,12834.29,1140.01,4.2
5,5,Dining Table,23604.98,9945.06,6483.48,1491.15,2.5
2,8,Dining Table,35718.34,29806.59,17129.04,3118.31,3.2
12,10,Study Desk,17278.1,8028.35,18879.1,1841.03,2.2
1,5,Dining Table,49231.0,5360.65,18573.14,1094.53,3.1
5,1,Study Desk,12945.43,6007.91,11816.67,2700.72,2.0
9,8,Study Desk,32741.79,32783.31,13851.02,1701.88,3.5
9,9,Wardrobe,20028.11,23916.23,9162.94,2722.13,3.1
1,8,Study Desk,21794.15,21152.98,17453.48,4452.96,1.5
5,8,Study Desk,36887.16,24685.77,14017.13,1413.93,3.2
9,5,Bed,43259.67,30887.57,19302.23,4325.32,4.1
8,5,Bar Stool,42082.55,18813.18,8673.98,1380.14,4.6
3,3,Wardrobe,32249.13,39513.45,2331.09,4168.59,1.1
9,10,Study Desk,37639.17,14582.08,17777.85,2543.02,3.2
4,2,Wardrobe,34528.91,34436.16,16684.75,4019.62,4.2
6,10,Study Desk,34623.73,8673.91,4454.94,3593.49,1.8
12,1,Wardrobe,29047.32,7084.38,2151.33,773.47,1.7
4,4,Sofa,29738.14,19473.12,15558.39,2496.69,3.4
11,2,Bar Stool,19852.5,35337.96,11726.09,4355.77,2.0
3,6,Study Desk,49567.24,14100.76,13429.13,1224.32,1.2
9,3,Bed,35214.37,35321.15,2469.17,2940.43,4.4
9,1,Bed,38771.65,25958.74,13414.56,3595.8,4.7
12,2,Sofa,20324.35,33828.17,14495.78,1428.61,4.2
3,5,Bed,17661.5,9254.41,11127.54,502.68,4.5
10,5,Sofa,22699.67,20149.09,6791.45,4184.62,2.7
1,10,Sofa,36874.52,11153.07,2140.8,3106.65,3.2
5,4,Sofa,35673.83,33193.97,8051.06,4349.07,1.2
11,2,Bed,15930.89,22929.19,10705.48,2529.08,1.6
3,6,Sofa,36730.2,18565.81,6245.18,1344.0,4.6
6,9,Office Furniture,41809.18,10907.63,1199.76,1052.04,1.4
6,7,Dining Table,40533.57,19268.7,8018.68,2445.87,4.0
4,9,Dining Table,36541.47,30326.1,12246.84,1865.72,2.2
3,8,Bed,20887.14,37729.59,3254.93,1749.17,4.3
7,2,Dining Table,49439.46,12608.67,19452.2,3785.86,2.5
6,6,Bar Stool,23707.09,35360.97,6277.24,1897.91,1.1
10,6,Dining Table,30265.47,12465.86,19884.94,1185.99,4.5
6,8,Wardrobe,15902.62,18869.33,12933.79,4595.59,4.6
1,8,Bed,18144.91,11130.96,14647.4,1593.07,4.8
3,9,Dining Table,11243.21,11594.37,3132.7,3540.84,1.1
7,4,Dining Table,32082.53,32303.82,3303.51,1146.17,1.6
11,2,Wardrobe,15517.58,31239.04,7425.23,2865.89,1.1
12,8,Study Desk,41866.73,5467.56,19310.27,4870.52,1.1
7,7,Bed,13123.78,24145.63,7637.3,3357.46,3.6
9,5,Bed,11085.33,12731.66,13790.47,1390.81,1.2
1,8,Bar Stool,31507.08,10319.14,18072.64,4226.96,4.0
4,8,Study Desk,43257.18,33015.08,16013.36,4987.13,4.0
2,8,Bar Stool,29429.28,28471.45,3580.01,693.35,2.1
12,10,Office Furniture,29032.69,11406.33,15736.58,4563.71,1.8
1,5,Bed,39886.57,14156.75,7597.56,1680.18,1.8
2,4,Office Furniture,21162.48,17713.52,4582.65,4380.15,1.2
8,6,Bar Stool,36727.11,21108.07,11323.56,4543.46,1.7
6,2,Wardrobe,20447.63,19221.17,5398.7,4083.54,1.7
5,4,Bar Stool,32805.17,6796.06,2587.69,553.38,3.4
10,5,Study Desk,31817.7,22213.25,6689.01,2885.24,3.0
9,9,Office Furniture,36054.35,16538.64,5385.67,3767.37,3.8
2,7,Dining Table,16153.97,30358.07,13513.33,4577.73,3.8
9,5,Wardrobe,47946.33,31354.74,2539.15,4223.05,2.0
12,5,Office Furniture,37645.52,23315.69,17114.97,946.71,3.7
8,9,Bar Stool,23444.89,15420.95,4495.28,2136.19,1.0
1,3,Sofa,40820.81,21889.69,15076.16,1841.87,3.8
7,3,Dining Table,36795.92,33258.25,6185.68,4868.99,3.1
10,2,Dining Table,22686.53,21112.11,18286.83,3216.95,3.6
8,7,Bar Stool,44490.74,9178.07,7066.93,3895.54,3.9
10,6,Bar Stool,49441.98,19946.95,2217.63,3495.67,3.8
1,6,Sofa,34973.55,24957.85,6280.11,1974.22,4.8
5,2,Dining Table,36410.0,19357.25,14886.86,2644.42,3.1
3,4,Office Furniture,46408.89,35176.41,4171.77,3427.34,4.7
12,1,Office Furniture,43305.05,18199.49,10439.08,3875.76,4.7
8,1,Bed,33546.3,16898.08,10008.36,4405.82,3.2
11,10,Study Desk,26492.72,20659.14,4691.64,3565.95,2.4
6,3,Bed,23404.34,33280.36,11978.48,2962.16,1.8
11,10,Study Desk,41197.54,36311.64,10165.23,4785.34,3.2
1,9,Dining Table,18334.59,6374.66,14641.37,2342.1,4.5
3,3,Bar Stool,40006.32,13529.86,6743.67,891.23,3.9
2,10,Study Desk,42745.59,21824.88,12709.02,1372.27,4.9
2,6,Bed,22716.85,30835.5,11530.83,3105.06,4.9
12,7,Sofa,48438.62,14147.1,13112.56,1292.5,4.0
7,5,Office Furniture,33947.6,37262.34,14099.19,2676.36,2.2
4,7,Dining Table,16562.48,13905.76,16530.79,4709.07,4.4
5,3,Wardrobe,42951.98,16027.43,13152.75,3046.83,4.2
3,5,Study Desk,36716.03,5686.43,12666.44,799.12,3.6
2,7,Bed,23180.01,31345.26,13048.23,2983.86,4.3
9,9,Office Furniture,29343.98,36185.17,16939.83,759.63,4.6
7,8,Bar Stool,34827.63,38775.71,14901.44,4047.17,3.2
3,5,Dining Table,48594.13,29637.59,8966.33,810.49,4.9
12,2,Study Desk,45272.59,27280.12,11486.15,3242.19,4.5
8,5,Bar Stool,46960.51,15190.67,6772.71,719.41,5.0
3,9,Sofa,48610.66,32518.31,9423.96,3064.53,4.1
12,2,Bar Stool,18862.82,12649.2,11674.24,3549.87,3.0
2,7,Bed,22068.26,18615.78,12158.94,767.48,4.9
5,10,Sofa,48861.36,34505.02,7957.92,3504.45,3.6
4,8,Wardrobe,26351.53,35835.06,11502.87,670.01,2.2
10,6,Study Desk,39749.09,34904.42,12630.37,3461.1,4.1
1,3,Bar Stool,26928.33,9848.79,6585.81,2709.59,3.8
8,2,Office Furniture,24785.02,13275.92,9003.01,4127.59,3.5
8,9,Bed,29071.99,14512.99,5985.74,1590.47,3.4
5,4,Bed,14919.0,33250.2,10122.71,4822.15,2.0
6,10,Wardrobe,37081.12,18199.04,19642.45,3334.66,3.7
9,5,Study Desk,15659.03,17706.46,14575.62,1993.03,4.1
4,10,Bed,39285.51,8346.16,3326.61,1062.24,1.1
9,10,Bar Stool,23089.5,28764.01,10476.29,1105.49,3.2
11,5,Office Furniture,46125.66,6384.41,9006.2,1273.77,1.1
4,4,Dining Table,11756.88,23596.99,10939.31,1775.36,3.7
10,10,Study Desk,21045.18,16392.97,1036.96,1039.9,2.6
12,2,Bed,28620.88,11683.46,15886.09,2945.59,3.8
10,7,Dining Table,22799.05,25036.48,4803.63,2194.16,3.3
8,6,Office Furniture,21172.81,12903.02,10715.92,3317.36,4.1
6,1,Bar Stool,40954.03,11464.16,2185.66,3266.13,4.8
12,8,Bar Stool,47014.33,31919.75,5231.35,1530.93,3.2
3,5,Bar Stool,20063.43,27776.3,16736.8,1807.15,4.6
10,3,Dining Table,27169.39,20322.53,13622.97,4132.53,3.9
1,4,Dining Table,31439.93,34217.01,18973.2,4688.53,2.2
7,10,Dining Table,25414.14,32039.48,14245.83,3626.25,4.2
2,3,Dining Table,38211.33,14661.2,11737.53,2030.78,2.2
12,4,Dining Table,22430.77,18956.49,9032.61,1792.82,3.6
11,8,Dining Table,40780.11,24489.78,13552.57,1470.92,3.8
7,4,Dining Table,49700.02,17303.77,4752.64,1811.63,1.9
7,6,Bed,32931.93,38099.19,2047.83,4240.0,2.4
8,1,Dining Table,24072.57,18050.11,12557.14,1186.58,4.7
10,7,Wardrobe,25342.67,30142.17,19644.91,3242.07,4.3
12,9,Office Furniture,18706.13,8783.23,8440.95,2039.35,1.5
7,5,Bed,30116.66,31789.87,5189.89,2122.71,1.1
1,4,Bar Stool,28581.59,38096.81,4133.11,1013.72,1.5
1,8,Bar Stool,31266.72,17766.75,14808.57,4235.89,1.3
10,7,Wardrobe,48999.02,24088.65,14337.4,4536.28,2.1
11,10,Office Furniture,28304.94,37101.2,7117.41,4801.03,3.6
1,7,Wardrobe,36003.72,8186.99,8290.81,1611.64,2.9
7,2,Sofa,40584.14,30563.21,14432.74,1645.45,3.8
2,3,Study Desk,29099.72,22114.76,12811.82,1129.79,4.7
12,3,Sofa,34838.49,17525.22,11986.98,3545.61,4.5
3,3,Dining Table,30529.15,29050.86,6862.58,2242.34,1.3
12,1,Study Desk,36111.64,27983.88,2180.54,2299.01,1.4
8,2,Wardrobe,32555.28,17264.15,15646.91,2381.2,5.0
6,4,Sofa,38386.65,14049.36,3275.76,3764.49,2.3
1,9,Bar Stool,12936.35,25207.62,2955.53,1621.67,2.9
5,5,Bed,41045.84,19682.31,6733.17,1348.52,2.5
1,1,Study Desk,11499.61,17898.76,6105.14,1013.31,1.7
2,6,Sofa,47195.15,17842.08,14328.36,4622.12,1.5
7,4,Bed,33868.49,36736.35,19027.58,2427.31,2.6
3,5,Study Desk,48733.15,30628.83,17472.62,3983.77,3.7
1,9,Bed,26050.84,19040.0,14062.83,4240.03,1.3
11,4,Dining Table,44888.65,23616.48,11309.34,4009.39,4.3
2,3,Dining Table,18957.36,32963.73,1720.93,3711.87,3.3
8,10,Sofa,38820.15,34395.19,19314.67,2609.2,3.1
10,2,Wardrobe,23913.78,14802.31,12184.5,2135.82,2.7
11,2,Study Desk,14177.46,8696.18,18355.51,1309.07,4.3
6,9,Dining Table,38595.78,20340.92,5020.67,728.79,4.5
12,10,Bed,36963.32,11439.5,2245.44,4639.01,2.1
9,9,Study Desk,20459.35,26764.78,10914.48,1663.56,1.8
12,10,Bar Stool,45958.91,15320.32,2350.18,3310.92,4.4
11,8,Bar Stool,11747.47,10651.38,5171.94,3621.39,2.1
10,4,Sofa,44682.04,13257.64,11960.11,741.66,4.1
10,9,Dining Table,49640.53,28653.88,12913.31,1757.84,3.9
7,1,Study Desk,29783.63,12259.97,14612.15,3034.02,4.7
10,8,Study Desk,28237.27,37289.69,16177.22,1267.14,3.3
10,3,Bar Stool,39463.22,6230.76,3141.45,4576.5,2.7
11,7,Wardrobe,47592.47,14839.19,13138.56,2475.0,4.7
4,9,Dining Table,39592.26,19789.05,15261.43,3905.5,1.1
8,6,Bar Stool,34881.73,6931.21,15862.31,550.78,4.3
11,4,Bar Stool,37034.53,39497.26,3792.16,2565.07,2.7
4,2,Bar Stool,17509.39,19215.76,5255.88,586.11,2.8
2,9,Bar Stool,24699.23,22899.93,9294.27,4645.11,2.0
1,1,Office Furniture,44964.93,9818.9,9617.11,899.88,3.6
1,7,Bar Stool,45690.14,26531.31,14092.32,2820.74,2.8
12,2,Bar Stool,48979.03,39190.61,13612.56,4192.53,4.5
3,7,Dining Table,18781.03,33175.73,3538.55,3370.83,4.7
1,8,Bed,33826.25,17126.04,17480.96,2479.73,4.4
9,5,Office Furniture,31377.7,10366.95,5427.97,4010.46,4.9
1,8,Study Desk,47669.42,22509.41,4533.15,844.23,2.8
2,6,Office Furniture,10894.63,36295.88,13192.88,3790.61,2.2
2,2,Sofa,36313.25,8543.13,6056.93,4320.22,2.5
9,1,Dining Table,17529.5,12849.82,13312.14,3132.17,1.4
5,2,Study Desk,44698.06,36614.84,3628.42,2067.01,3.9
5,3,Study Desk,27834.9,17505.74,19053.56,1936.31,4.2
1,2,Sofa,24548.71,22841.68,19240.73,3368.73,2.3
3,6,Bar Stool,20908.91,22302.49,12729.15,3091.95,1.5
5,4,Dining Table,26734.4,28570.53,13063.94,2105.72,3.2
7,5,Wardrobe,16052.93,8988.87,4800.86,1793.94,4.0
3,4,Wardrobe,33850.72,5151.4,11188.79,2190.65,2.4
1,2,Sofa,41973.49,22531.88,4232.21,1491.49,2.2
12,4,Bar Stool,23555.72,18988.86,17694.53,2006.12,3.3
3,10,Bar Stool,10138.18,11262.59,15582.83,2462.91,2.3
11,10,Sofa,21769.35,21311.89,1060.3,1912.46,4.8
6,8,Wardrobe,15595.09,5348.68,1052.27,3709.71,3.3
9,8,Wardrobe,49795.9,16616.17,3911.55,2946.44,1.7
2,8,Wardrobe,37943.54,11074.49,7655.42,2917.58,3.9
7,7,Dining Table,41607.94,17263.09,10639.61,3061.32,2.3
4,5,Bed,39037.73,8548.39,10702.51,2466.24,1.9
1,6,Office Furniture,19560.28,17845.75,17292.43,1072.19,3.6
3,7,Office Furniture,27466.43,27816.75,6283.31,4242.22,1.4
9,2,Office Furniture,41689.87,9594.25,4666.51,1032.99,4.3
3,7,Sofa,39785.05,7099.26,18239.22,4808.19,4.8
5,1,Study Desk,17158.75,27889.36,3653.18,2133.88,4.9
6,4,Bed,35815.27,30582.24,19539.98,1274.4,3.3
12,7,Wardrobe,12661.9,20906.45,17625.56,590.91,3.1
2,9,Dining Table,43710.61,15905.12,18522.87,3410.18,1.2
3,4,Bed,36156.68,18522.69,3869.4,4672.23,4.9
7,6,Bed,40909.16,34625.24,19831.62,628.78,1.5
12,5,Dining Table,47278.2,25553.05,9028.47,1195.6,1.1
9,2,Study Desk,40586.01,5948.99,9300.78,742.76,4.0
1,4,Sofa,31243.62,13831.56,5650.66,3135.3,1.5
12,3,Dining Table,35404.53,37847.14,9791.24,3665.81,2.1
4,2,Sofa,31060.6,23356.6,8381.05,1379.94,3.6
8,5,Bar Stool,48137.55,20804.33,3166.32,2093.24,3.7
11,7,Wardrobe,29728.91,15744.96,17254.35,3273.01,4.5
6,7,Dining Table,48928.76,26264.06,4700.93,3107.33,1.5
5,2,Bed,41390.94,8433.06,10105.82,3731.67,4.7
12,2,Sofa,45834.66,7386.91,19776.77,2512.64,1.8
1,10,Dining Table,49092.29,35290.76,13173.4,3251.96,2.6
7,6,Bed,11026.15,25412.35,9983.33,4587.24,3.1
9,7,Office Furniture,39848.67,38676.13,2783.2,2820.14,4.6
7,1,Bar Stool,45543.03,15994.14,12851.74,3436.71,4.2
9,5,Study Desk,39171.5,29786.7,14434.91,2208.87,3.3
5,1,Dining Table,41548.62,13773.24,7617.44,3000.76,2.0
12,2,Bed,28353.11,22996.46,4188.86,1579.5,1.7
12,7,Sofa,39214.61,8162.89,5656.66,3743.02,4.7
10,7,Office Furniture,20084.88,36342.0,7437.38,4320.22,3.0
5,6,Study Desk,32926.33,21403.75,15371.13,2252.19,3.6
8,3,Wardrobe,33969.57,13771.81,15885.18,2696.71,2.8
1,4,Wardrobe,33145.87,35099.8,6642.85,1979.68,2.5
1,3,Study Desk,17552.06,32140.07,9981.28,931.38,3.8
11,2,Bed,15123.87,28683.26,8326.4,3263.47,1.9
2,9,Sofa,34648.79,8264.19,19288.02,4373.29,2.1
2,2,Dining Table,21896.66,37363.89,5315.36,2827.51,3.4
4,6,Sofa,20100.77,25319.12,13775.16,4422.65,3.4
5,4,Bar Stool,46017.34,24711.61,13139.3,4811.41,4.3
