transaction_id,supplier_id,product_id,date_id,city_id,quantity_supplied,cost_amount
314,118,424,99,6,350,27293.62
315,403,384,264,10,354,72188.48
316,488,230,418,1,185,11235.65
317,152,162,472,7,424,79789.1
318,123,468,336,6,395,98057.85
319,406,207,458,5,417,12513.16
320,488,67,8,1,137,48500.49
321,148,480,297,2,95,60007.18
322,314,199,334,6,184,82225.82
323,5,412,472,8,314,19257.37
324,490,351,76,1,496,39212.16
325,205,357,204,9,461,84381.26
326,320,163,390,3,460,54227.75
327,202,470,122,9,52,20530.22
328,97,465,57,5,86,87594.58
329,406,383,164,2,44,93931.8
330,243,79,73,6,216,75268.14
331,270,181,210,6,469,97498.05
332,366,214,194,9,104,93020.09
333,191,462,253,2,466,16533.34
334,28,43,337,3,170,43879.04
335,441,101,246,1,267,61704.45
336,455,132,44,2,151,74576.7
337,321,348,212,2,429,55831.04
338,118,64,265,8,331,66673.81
339,496,11,207,10,167,16096.51
340,219,139,128,10,73,43598.0
341,263,2,65,1,78,5651.43
342,45,465,204,1,86,66925.7
343,494,6,451,6,493,20625.18
344,470,226,47,7,493,43376.78
345,263,93,107,6,158,52371.68
346,486,25,349,4,66,68306.01
347,464,342,305,5,39,77507.8
348,221,136,449,1,296,72934.71
349,69,450,316,9,302,58942.88
350,178,210,153,6,11,55233.34
351,457,358,257,6,499,86405.49
352,100,145,330,10,362,87344.19
353,294,473,441,8,256,10878.54
354,117,50,480,5,87,30663.77
355,329,123,104,5,51,92557.29
356,230,34,58,7,97,61301.96
357,246,325,476,1,193,17792.79
358,200,325,305,4,413,11757.53
359,289,56,408,1,234,13971.02
360,194,483,233,9,410,78134.81
361,386,44,163,2,453,26088.77
362,285,497,63,3,250,28081.07
363,193,257,408,3,17,17406.7
364,59,119,253,4,91,61967.31
365,79,498,395,10,329,53818.4
366,24,367,463,9,393,31746.45
367,310,333,316,9,72,67521.83
368,466,360,243,7,294,78889.45
369,162,417,393,4,415,98061.5
370,2,434,155,6,214,50477.68
371,126,453,33,8,188,44233.54
372,66,359,7,2,268,32756.64
373,84,164,293,3,217,79537.06
374,409,256,487,6,90,97360.21
375,477,238,497,5,378,62040.34
376,342,69,470,7,363,66020.05
377,401,496,370,7,267,70467.91
378,5,369,60,5,266,45211.97
379,492,173,30,4,121,25932.99
380,58,384,202,2,404,29331.4
381,4,90,437,3,1,63633.93
382,136,276,420,7,4,65576.6
383,465,102,294,3,85,48881.67
384,346,248,420,10,18,9117.31
385,210,336,42,4,153,88337.28
386,307,468,288,6,300,28209.86
387,315,83,192,5,497,60198.07
388,125,45,336,1,78,75173.67
389,419,397,28,1,92,22512.25
390,325,457,67,7,369,49962.87
391,170,294,457,6,349,5127.12
392,192,165,337,3,295,9507.1
393,224,141,397,3,382,28796.53
394,182,238,66,4,141,67578.68
395,185,142,225,5,176,89234.15
396,350,66,415,9,74,45326.22
397,214,254,457,1,363,7378.62
398,261,268,430,6,68,32808.5
399,183,100,373,8,404,95915.15
400,481,358,244,3,149,15565.85
401,375,182,284,9,59,76792.27
402,127,189,333,7,443,75996.12
403,175,42,129,6,135,61042.71
404,110,466,310,1,82,93434.49
405,45,24,464,8,156,66004.26
406,81,278,382,3,64,96818.04
407,270,289,5,6,198,83482.52
408,281,304,398,3,202,80434.32
409,188,212,431,1,275,95349.86
410,190,79,118,10,311,63619.02
411,95,54,376,3,368,35623.22
412,186,178,275,1,201,14847.87
413,78,257,381,6,411,70955.14
414,496,40,286,2,211,54711.52
415,314,342,269,9,457,41617.55
416,270,203,166,2,45,95225.9
417,302,54,390,5,384,91680.67
418,9,472,259,9,96,40905.11
419,442,117,339,7,163,94821.36
420,153,474,222,6,367,46041.96
421,265,413,130,10,321,24583.23
422,300,477,377,9,118,63961.83
423,123,480,340,6,170,13953.56
424,439,458,170,10,133,19503.24
425,346,225,112,3,56,82355.94
426,65,58,65,5,31,82815.12
427,181,266,218,9,178,27858.3
428,317,372,146,6,385,75951.96
429,2,188,77,8,260,97489.2
430,45,469,7,2,285,95994.95
431,427,120,265,6,337,47229.63
432,443,74,54,1,431,87071.08
433,479,164,153,5,59,57924.83
434,144,54,332,5,358,58654.9
435,293,244,144,5,358,27730.7
436,397,394,358,4,439,41500.13
437,174,122,27,2,484,25412.96
438,231,33,376,2,128,75532.87
439,105,49,262,1,212,65856.2
440,411,250,245,8,298,81425.16
441,14,484,115,9,42,63888.44
442,233,273,476,8,340,31332.5
443,208,316,101,3,215,95490.02
444,398,336,402,3,46,66817.53
445,4,458,213,7,352,50252.04
446,203,210,450,6,132,78869.55
447,179,230,220,10,333,29189.53
448,445,58,481,3,125,82029.04
449,13,252,378,2,165,37137.91
450,243,445,314,3,263,12092.29
451,377,255,10,3,209,79373.46
452,500,186,21,3,441,23141.09
453,449,193,217,7,324,66208.59
454,51,467,374,9,386,30629.7
455,495,194,176,8,57,70117.61
456,416,386,317,1,241,16979.34
457,447,209,40,9,499,64271.27
458,103,107,294,5,257,23241.79
459,429,332,260,3,176,52819.15
460,185,237,137,1,38,87906.56
461,409,56,382,6,225,50165.05
462,355,176,468,6,445,78346.31
463,9,252,135,7,298,18912.6
464,219,317,304,8,318,67429.51
465,359,445,126,2,424,19438.14
466,75,422,214,8,421,78013.71
467,188,482,153,9,400,72835.8
468,309,268,377,4,431,43228.62
469,471,90,346,10,11,49653.82
470,22,464,166,5,476,20999.41
471,263,114,148,3,12,65374.47
472,182,126,241,9,419,91705.22
473,373,229,102,1,144,58240.58
474,370,47,386,6,298,34939.87
475,326,263,52,6,493,43897.38
476,317,407,381,10,102,25736.44
477,370,269,235,10,397,46967.24
478,400,99,84,6,123,52037.22
479,455,164,18,6,486,94370.79
480,17,222,369,1,477,45840.91
481,246,328,461,5,243,86914.1
482,288,292,23,1,259,20848.52
483,155,267,175,4,205,56791.2
484,473,286,340,9,115,61123.98
485,427,5,268,3,312,61403.38
486,27,140,219,7,98,52704.38
487,319,143,180,4,262,77878.98
488,116,367,244,10,201,21422.15
489,83,432,291,2,19,11469.93
490,490,226,7,10,119,18558.39
491,354,189,39,2,10,58506.99
492,293,451,101,2,13,28723.69
493,307,390,437,6,30,75160.96
494,330,490,168,3,443,10971.31
495,435,15,23,8,278,91354.47
496,388,322,280,4,95,95412.64
497,320,165,24,3,52,79636.85
498,211,85,368,2,90,88405.56
499,68,247,458,2,390,40942.59
500,268,489,476,7,214,20161.55
