month_id,product_id,total_discounts,total_revenue,avg_rating
4,354,1842.98,22877.1,4.7
10,324,4013.48,48141.4,1.3
2,75,2949.56,46185.02,2.8
10,50,3757.34,16810.42,2.0
8,54,2694.0,22552.23,3.6
6,207,4305.72,24323.74,4.1
5,233,2120.65,26123.45,1.1
8,144,1578.46,14497.39,3.3
4,253,3510.6,12215.27,3.2
5,231,4012.61,30165.04,2.8
5,224,3537.14,25299.87,3.4
9,10,4698.36,44195.67,4.0
3,387,4494.17,21989.92,4.0
6,342,2166.22,30653.93,3.0
8,84,1189.75,32815.32,3.0
1,381,3076.65,11273.95,2.5
11,266,2692.69,39453.23,3.9
10,406,2526.61,26146.75,3.8
8,474,2678.38,34263.36,2.1
3,113,1215.32,37771.41,3.7
1,270,1333.46,10977.25,1.0
9,24,1519.57,18477.65,4.4
2,112,2733.38,36087.15,4.9
11,373,2768.07,41958.14,2.5
12,294,3965.87,20563.24,4.6
11,59,1208.78,28092.59,5.0
7,155,1574.93,14050.91,2.3
10,6,1544.23,37110.58,3.5
9,204,3104.64,48811.91,2.3
9,237,2776.17,28532.7,3.8
3,258,1909.43,40221.34,1.7
4,444,4908.18,48097.23,2.6
2,454,4519.4,25772.44,3.2
4,388,3990.75,40344.21,4.5
3,24,2847.07,33749.77,3.3
3,77,3022.27,37786.88,2.0
12,27,1261.19,30747.98,2.7
1,106,3108.77,34516.01,2.5
6,137,2227.89,37028.88,2.6
11,469,4332.54,40490.96,4.6
10,170,1384.73,16435.53,3.4
10,456,3833.86,18437.74,1.1
11,23,4446.29,41127.11,4.7
8,449,2158.79,30390.3,3.9
5,13,3503.39,10497.18,3.0
11,303,4927.45,19293.39,2.8
2,26,4230.05,20644.79,2.6
6,478,3761.81,27995.72,4.8
2,361,4400.78,21599.17,1.0
8,195,3144.93,44130.39,4.6
9,351,1488.09,45656.08,3.0
12,77,4916.81,42068.46,1.7
9,12,3107.94,45251.11,4.3
4,356,4872.45,43368.4,5.0
9,403,3098.47,33850.72,1.3
6,126,2576.25,22620.33,4.7
4,496,2324.9,45444.63,2.0
4,188,3327.97,31385.83,1.4
10,222,2268.59,49432.66,3.4
11,164,4306.23,38779.28,4.6
4,331,2377.94,18842.57,1.3
12,119,4367.02,30912.92,3.9
3,453,1256.31,43861.68,3.3
12,305,1471.18,29939.48,3.4
10,12,2363.02,38444.65,3.3
12,201,4361.66,44539.34,1.2
5,335,3585.92,38904.44,1.6
7,322,4533.79,44258.97,1.6
6,474,4533.13,35865.71,4.1
11,177,4194.2,16473.28,1.3
5,499,3547.95,23489.95,2.0
7,294,1519.46,44375.09,3.3
8,469,4346.84,32270.04,1.2
6,229,1878.04,42688.12,1.8
9,488,4649.25,22790.12,2.7
6,252,3648.24,42002.35,4.1
11,65,4265.54,30385.12,2.3
9,221,1859.69,48368.25,3.3
5,156,4875.87,29734.92,2.5
2,24,3445.32,49724.28,4.5
7,249,2638.23,11719.9,2.6
8,94,4034.72,10068.92,4.3
2,435,2041.33,24646.01,4.7
1,249,2496.51,29127.55,2.8
9,97,2451.65,13258.76,2.7
2,480,2972.59,18732.24,4.3
8,302,2978.31,19542.74,1.4
6,51,3311.31,29142.68,3.9
8,31,4953.32,18017.32,3.9
12,230,2726.04,25812.49,2.2
5,390,2430.21,14714.14,2.8
9,209,3350.3,21181.7,2.8
5,324,2888.15,36383.98,3.3
10,302,4773.94,31042.45,3.4
3,361,3122.4,23804.03,1.6
11,60,1065.54,18882.3,3.2
1,483,1109.83,22714.66,1.2
7,214,3746.27,30538.36,4.6
7,61,3518.46,38159.4,4.5
3,105,4586.48,24748.7,3.3
10,363,2614.18,32655.85,4.8
10,248,4972.65,28868.88,1.3
1,59,4839.76,14739.9,1.1
12,415,3794.5,43963.11,3.5
4,273,3374.69,23143.88,3.5
10,144,4298.65,23073.82,2.8
2,15,3568.86,41264.91,3.6
6,89,1628.85,31192.91,2.7
2,133,3582.14,35839.52,1.4
11,20,1554.63,13500.66,1.4
3,199,3097.23,10109.23,4.1
1,19,3274.61,38841.19,2.9
5,458,4626.76,42912.91,3.0
3,269,1976.81,15059.68,4.4
1,58,3707.49,20606.87,3.9
6,305,2231.91,20191.0,4.0
6,490,3958.15,42954.8,4.4
8,148,3187.03,20318.74,3.4
6,273,2195.69,41715.48,1.5
11,199,2305.52,11520.05,2.8
10,75,1560.19,48906.97,2.4
3,278,4159.48,43147.16,1.4
1,221,3674.54,23770.29,2.2
8,106,4017.6,20170.69,2.2
3,238,4027.08,23982.13,2.6
6,43,3963.88,15538.62,3.8
3,100,2292.57,43764.2,3.5
9,374,1030.7,15287.37,4.0
11,352,1879.18,10681.94,4.0
8,120,3690.31,18930.78,3.5
7,281,3508.75,47575.4,1.4
2,299,1685.76,22085.77,4.1
10,308,2887.56,24727.52,2.5
12,344,3032.27,22996.49,3.7
5,377,1100.53,33912.04,2.4
12,180,2915.6,40120.18,1.1
9,390,1866.3,30457.72,3.5
5,343,1740.59,17802.62,3.5
5,374,3895.07,27996.31,2.8
1,366,2600.66,20097.81,4.9
2,393,3503.46,24250.43,2.0
7,232,2005.59,22698.11,3.2
9,344,3326.7,36468.48,1.1
7,14,3307.28,33258.75,4.7
1,221,1926.18,11732.21,4.8
3,426,3253.34,14161.11,2.3
10,324,2565.98,40719.03,2.1
8,54,4798.87,32894.16,1.4
11,107,3030.13,33349.85,4.8
6,268,4648.47,47623.38,3.6
10,160,3571.11,37385.02,1.2
1,129,2057.58,20186.08,4.1
12,454,1682.29,39750.83,2.7
7,294,2083.74,46154.53,2.2
4,132,4093.82,40331.14,2.5
12,174,2303.67,10140.44,2.9
6,45,1710.54,10435.71,3.5
12,166,1502.26,22249.84,3.9
7,117,3980.15,48079.02,4.6
3,174,3060.57,47820.83,2.4
5,329,3202.14,31768.91,1.1
1,340,1141.57,19522.46,4.7
4,334,4617.1,35463.41,1.3
8,387,4810.1,12642.95,3.0
2,273,3481.84,38388.95,4.7
8,253,2374.43,24963.5,3.2
4,497,1997.67,31917.14,2.4
9,135,4717.19,22319.41,3.5
11,400,2542.03,49435.89,4.6
5,314,2272.08,10225.64,2.2
12,209,2974.57,23452.63,3.6
5,438,2326.62,23129.77,4.6
8,325,2163.11,33686.23,3.1
8,57,2035.71,15992.1,2.4
7,127,2275.28,24383.0,4.3
11,337,3134.36,48952.82,2.2
9,347,1992.34,11755.44,4.5
2,452,2911.56,21829.41,1.1
10,3,3491.62,21936.95,3.6
1,333,1447.88,30718.97,1.5
10,123,3616.52,39454.56,4.2
11,89,4173.09,45114.11,4.4
8,169,4240.55,19979.03,4.5
2,5,2942.99,15408.58,4.2
9,304,4242.0,27534.4,3.9
10,232,1431.66,14863.99,2.6
11,161,1946.78,44606.4,4.5
12,404,1559.78,22438.98,2.8
10,251,1493.22,14776.72,2.9
6,83,3428.5,16744.9,1.6
3,288,3798.64,46665.74,1.0
9,288,4060.54,10439.93,4.8
3,318,2389.12,40778.5,3.1
2,315,2473.24,25458.43,3.7
9,220,4531.89,42328.47,2.4
7,442,4049.45,16776.69,1.0
9,455,3756.57,13366.73,2.6
5,156,4275.83,25383.71,1.2
1,123,1071.79,46285.21,4.3
6,480,3615.94,10339.08,4.1
6,390,2729.33,13320.97,4.0
2,167,3774.49,18502.83,2.3
4,294,4847.16,14650.55,4.3
2,200,3602.8,18978.88,3.3
9,425,3303.09,11880.84,3.8
2,133,1203.88,32446.68,1.2
2,177,4148.22,48722.8,1.3
10,372,4514.35,41364.29,2.6
5,397,1692.23,39679.15,3.9
5,442,3654.84,22480.84,2.8
4,225,1049.25,23516.96,3.0
5,322,2030.77,32537.03,2.1
10,460,3592.32,33173.24,4.5
11,11,1777.46,40373.44,4.5
9,253,1168.31,26692.51,2.4
12,135,1090.33,40912.9,4.5
4,138,4063.4,38984.67,2.4
2,317,1979.51,29881.56,1.4
10,309,3556.65,34401.58,4.6
6,467,4624.86,48644.78,1.3
12,442,3899.9,22534.95,3.9
9,306,3240.55,49284.47,2.9
12,471,1474.87,35122.69,2.8
10,50,2326.75,34186.38,4.4
5,131,1970.25,36988.36,3.9
7,238,4850.86,18670.53,3.1
4,461,3801.92,11959.93,4.5
9,283,2364.25,37030.2,2.6
7,498,4591.27,42283.22,2.9
3,239,4794.23,40763.67,2.7
5,65,4547.55,31168.17,3.2
10,425,1438.86,45738.09,2.6
6,452,2921.25,49510.47,4.3
1,74,1460.7,40935.43,1.9
11,99,1662.74,42818.45,3.1
4,316,2887.51,14331.26,1.4
8,135,2602.54,47633.24,1.9
9,368,3883.23,31401.99,3.2
1,253,4804.62,44397.93,4.4
3,63,1207.71,49529.45,4.8
5,79,1434.98,32019.82,1.1
10,500,1426.42,44683.58,1.2
4,329,2034.32,29665.33,2.0
9,162,4734.85,22974.9,3.9
2,458,4092.99,11953.46,2.5
9,487,1786.68,20261.95,2.6
1,179,1222.63,34480.23,1.8
4,439,1338.75,27840.93,2.4
2,20,4899.91,42036.29,2.1
11,80,3366.17,31385.97,1.7
3,400,4058.57,38030.14,1.5
11,241,3899.24,35146.24,1.0
11,428,1206.45,31890.93,1.4
3,110,3427.94,16914.19,3.7
1,128,2479.32,39659.02,1.8
10,19,3613.92,48902.18,3.0
4,355,2116.67,22593.93,1.8
4,434,3292.71,30526.42,3.2
2,53,3733.37,10716.38,1.5
4,47,1853.44,10274.64,1.7
2,341,4381.88,35998.23,1.6
7,83,1142.64,19973.48,3.9
6,325,2783.99,31420.02,3.1
3,243,1942.4,16750.53,1.6
4,59,4857.01,47580.64,4.0
3,278,3589.07,18998.86,1.5
5,341,4738.25,21225.53,1.8
5,474,4699.04,16250.13,2.2
11,77,1712.45,10591.51,1.7
4,250,2816.82,31228.11,1.7
6,62,3866.55,31420.51,3.4
5,147,2277.29,17944.88,4.2
2,260,2412.18,30875.71,4.0
6,107,4501.31,27939.92,4.9
2,163,3110.5,41744.11,1.3
1,150,1371.55,34571.89,2.5
3,184,4056.13,32872.36,3.5
3,243,1670.19,32070.98,3.2
1,319,3950.07,38123.99,3.5
3,204,1635.99,48751.33,3.4
7,487,1655.02,42166.13,1.6
9,240,2083.65,32517.99,1.6
4,125,1347.1,37207.3,1.2
2,133,2402.29,19820.75,4.7
9,69,3316.47,12768.99,2.6
12,73,2495.34,15815.69,3.9
4,265,1748.72,43917.38,4.8
2,84,1349.7,36420.92,3.5
6,260,3049.45,35476.46,4.6
4,474,4025.85,35818.97,2.7
8,461,1968.14,18155.53,1.9
1,304,4456.82,14792.98,1.5
11,57,1085.15,39058.42,1.0
9,152,4680.33,48850.19,1.9
10,348,1163.21,48552.56,1.8
5,318,3143.8,35958.29,3.4
5,89,4383.89,29354.06,3.1
9,445,4996.0,32429.77,1.8
12,407,1670.92,44707.14,2.4
4,56,4788.19,42222.03,4.8
3,178,3246.62,11675.71,4.4
8,63,3318.13,44710.7,2.1
8,202,4428.13,18023.49,2.1
8,463,1579.38,15538.66,1.4
9,181,3140.12,37025.68,1.8
2,365,4659.8,13978.77,1.4
3,308,4535.48,37738.41,1.7
3,57,4941.67,11316.27,1.4
10,216,2128.22,39381.15,3.9
9,265,4189.13,31806.41,3.4
6,81,2380.42,25365.01,1.4
9,281,1474.5,37885.51,1.1
11,86,2810.08,36486.5,2.9
5,245,1275.72,40693.55,2.9
6,342,2170.41,16801.44,3.5
4,32,4696.66,20574.95,4.5
3,267,3653.94,10731.58,4.4
1,220,2584.33,43792.84,1.8
5,74,3074.29,18201.34,3.0
5,298,4687.97,30222.91,5.0
5,444,2083.57,34122.32,4.9
7,73,4018.88,37675.93,4.0
6,437,2321.34,21628.66,1.6
2,399,3413.46,46896.24,4.1
4,305,4944.19,49672.73,2.7
8,184,3067.13,42961.96,4.1
1,302,4099.71,32302.86,3.3
8,429,4373.76,47745.03,4.1
2,76,4085.87,16335.1,4.4
2,229,4780.59,20900.66,1.8
6,289,1659.67,10901.22,2.6
1,419,1716.07,15090.06,3.9
8,355,4048.07,38061.77,3.7
6,9,3070.32,12451.78,4.9
2,377,4943.55,45385.85,4.0
8,13,4063.87,33840.72,1.4
6,48,4287.6,37093.71,1.3
9,303,3428.69,17490.12,3.2
4,88,1998.25,35536.02,4.1
2,280,1198.67,12936.99,5.0
1,238,3733.87,22363.21,2.0
5,156,2675.22,47833.53,3.8
2,300,4974.82,32015.9,2.7
10,459,1820.28,31531.79,3.6
8,249,3060.94,15361.6,1.7
5,91,4153.83,18556.63,1.4
2,281,1654.98,45948.98,3.5
6,276,4087.88,19168.28,3.5
1,365,1775.11,30827.73,1.3
12,223,3068.16,19151.64,1.9
2,454,2985.57,32903.14,3.8
10,223,2217.11,21532.77,1.3
3,367,2270.11,23841.65,3.0
9,172,2664.58,37912.27,2.8
2,151,4362.45,31231.25,3.4
1,424,3788.65,37007.11,4.7
6,154,3962.04,48215.59,2.4
4,201,4891.75,33958.6,2.2
10,465,1551.39,30700.78,4.9
5,403,4366.09,39867.35,1.2
5,453,4094.4,37510.35,4.4
4,392,1419.55,25757.26,2.3
8,33,4088.8,40396.6,3.0
3,174,2454.86,14134.1,1.6
12,451,1041.85,40984.29,4.7
8,276,1133.31,41808.51,2.1
5,261,3059.39,37726.0,2.3
10,369,4929.57,49424.08,3.7
7,154,4934.9,14707.1,1.0
11,221,4405.69,37698.23,2.2
6,223,3098.5,25935.26,2.8
3,474,3279.86,30662.65,3.5
2,93,2329.33,32489.32,4.5
8,23,2446.05,21240.25,3.0
4,349,2283.11,46137.19,3.4
12,426,3965.92,11212.25,1.4
3,84,2612.78,26687.87,1.3
6,335,4177.98,32552.4,3.0
4,154,3701.94,37710.52,2.3
8,24,2904.31,33246.28,1.0
10,40,1565.27,25595.47,1.2
8,280,1217.35,30584.69,3.5
7,353,1969.95,45833.6,4.2
12,333,4437.28,28279.25,4.3
6,377,3674.03,13749.27,1.1
12,197,4759.69,31580.49,3.9
4,43,1646.61,37927.73,3.6
12,119,4606.83,22141.61,2.5
4,376,3458.39,45189.21,2.1
4,209,1382.68,23010.79,3.6
1,413,4989.96,16939.79,4.2
11,224,1898.83,30578.53,4.0
9,317,1431.93,41896.97,1.3
