date_id,full_date,day,month,quarter,year,festival,day_of_week,is_weekend
149,26-10-2022,26,10,4,2022,Diwali,Wednesday,0
150,29-10-2022,29,10,4,2022,Diwali,Saturday,1
151,30-10-2022,30,10,4,2022,Christmas,Sunday,1
152,01-11-2022,1,11,4,2022,,Tuesday,0
153,02-11-2022,2,11,4,2022,Christmas,Wednesday,0
154,03-11-2022,3,11,4,2022,Diwali,Thursday,0
155,04-11-2022,4,11,4,2022,Christmas,Friday,0
156,08-11-2022,8,11,4,2022,,Tuesday,0
157,09-11-2022,9,11,4,2022,Eid,Wednesday,0
158,10-11-2022,10,11,4,2022,Christmas,Thursday,0
159,11-11-2022,11,11,4,2022,Holi,Friday,0
160,12-11-2022,12,11,4,2022,,Saturday,1
161,14-11-2022,14,11,4,2022,Eid,Monday,0
162,15-11-2022,15,11,4,2022,Christmas,Tuesday,0
163,16-11-2022,16,11,4,2022,,Wednesday,0
164,19-11-2022,19,11,4,2022,Eid,Saturday,1
165,22-11-2022,22,11,4,2022,Christmas,Tuesday,0
166,23-11-2022,23,11,4,2022,Diwali,Wednesday,0
167,24-11-2022,24,11,4,2022,Holi,Thursday,0
168,25-11-2022,25,11,4,2022,Holi,Friday,0
169,26-11-2022,26,11,4,2022,Holi,Saturday,1
170,29-11-2022,29,11,4,2022,Eid,Tuesday,0
171,05-12-2022,5,12,4,2022,Eid,Monday,0
172,08-12-2022,8,12,4,2022,Diwali,Thursday,0
173,09-12-2022,9,12,4,2022,Christmas,Friday,0
174,11-12-2022,11,12,4,2022,Holi,Sunday,1
175,15-12-2022,15,12,4,2022,,Thursday,0
176,16-12-2022,16,12,4,2022,Diwali,Friday,0
177,20-12-2022,20,12,4,2022,Christmas,Tuesday,0
178,21-12-2022,21,12,4,2022,Diwali,Wednesday,0
179,27-12-2022,27,12,4,2022,Eid,Tuesday,0
180,03-01-2023,3,1,1,2023,Christmas,Tuesday,0
181,06-01-2023,6,1,1,2023,Holi,Friday,0
182,07-01-2023,7,1,1,2023,Diwali,Saturday,1
183,08-01-2023,8,1,1,2023,Holi,Sunday,1
184,09-01-2023,9,1,1,2023,Christmas,Monday,0
185,12-01-2023,12,1,1,2023,Holi,Thursday,0
186,15-01-2023,15,1,1,2023,Holi,Sunday,1
187,16-01-2023,16,1,1,2023,Diwali,Monday,0
188,17-01-2023,17,1,1,2023,Eid,Tuesday,0
189,19-01-2023,19,1,1,2023,Holi,Thursday,0
190,23-01-2023,23,1,1,2023,Christmas,Monday,0
191,25-01-2023,25,1,1,2023,,Wednesday,0
192,26-01-2023,26,1,1,2023,Christmas,Thursday,0
193,27-01-2023,27,1,1,2023,Holi,Friday,0
194,29-01-2023,29,1,1,2023,,Sunday,1
195,30-01-2023,30,1,1,2023,Holi,Monday,0
196,01-02-2023,1,2,1,2023,Holi,Wednesday,0
197,02-02-2023,2,2,1,2023,,Thursday,0
198,07-02-2023,7,2,1,2023,Diwali,Tuesday,0
199,10-02-2023,10,2,1,2023,Holi,Friday,0
200,12-02-2023,12,2,1,2023,,Sunday,1
201,13-02-2023,13,2,1,2023,Holi,Monday,0
202,15-02-2023,15,2,1,2023,Christmas,Wednesday,0
203,17-02-2023,17,2,1,2023,Diwali,Friday,0
204,18-02-2023,18,2,1,2023,Eid,Saturday,1
205,19-02-2023,19,2,1,2023,Eid,Sunday,1
206,20-02-2023,20,2,1,2023,Holi,Monday,0
207,23-02-2023,23,2,1,2023,Eid,Thursday,0
208,25-02-2023,25,2,1,2023,,Saturday,1
209,26-02-2023,26,2,1,2023,Diwali,Sunday,1
210,27-02-2023,27,2,1,2023,Eid,Monday,0
211,02-03-2023,2,3,1,2023,Diwali,Thursday,0
212,05-03-2023,5,3,1,2023,Diwali,Sunday,1
213,06-03-2023,6,3,1,2023,,Monday,0
214,10-03-2023,10,3,1,2023,,Friday,0
215,12-03-2023,12,3,1,2023,Christmas,Sunday,1
216,13-03-2023,13,3,1,2023,Eid,Monday,0
217,14-03-2023,14,3,1,2023,Diwali,Tuesday,0
218,15-03-2023,15,3,1,2023,Christmas,Wednesday,0
219,19-03-2023,19,3,1,2023,Diwali,Sunday,1
220,20-03-2023,20,3,1,2023,,Monday,0
221,25-03-2023,25,3,1,2023,,Saturday,1
222,26-03-2023,26,3,1,2023,Christmas,Sunday,1
223,29-03-2023,29,3,1,2023,Diwali,Wednesday,0
224,30-03-2023,30,3,1,2023,Eid,Thursday,0
225,01-04-2023,1,4,2,2023,Diwali,Saturday,1
226,03-04-2023,3,4,2,2023,Holi,Monday,0
227,04-04-2023,4,4,2,2023,,Tuesday,0
228,06-04-2023,6,4,2,2023,Christmas,Thursday,0
229,09-04-2023,9,4,2,2023,Christmas,Sunday,1
230,15-04-2023,15,4,2,2023,,Saturday,1
231,16-04-2023,16,4,2,2023,Christmas,Sunday,1
232,17-04-2023,17,4,2,2023,,Monday,0
233,22-04-2023,22,4,2,2023,Christmas,Saturday,1
234,25-04-2023,25,4,2,2023,Holi,Tuesday,0
235,26-04-2023,26,4,2,2023,Eid,Wednesday,0
236,27-04-2023,27,4,2,2023,Christmas,Thursday,0
237,30-04-2023,30,4,2,2023,Holi,Sunday,1
238,01-05-2023,1,5,2,2023,Holi,Monday,0
239,04-05-2023,4,5,2,2023,Christmas,Thursday,0
240,07-05-2023,7,5,2,2023,Diwali,Sunday,1
241,11-05-2023,11,5,2,2023,Christmas,Thursday,0
242,16-05-2023,16,5,2,2023,Holi,Tuesday,0
243,20-05-2023,20,5,2,2023,,Saturday,1
244,22-05-2023,22,5,2,2023,Eid,Monday,0
245,23-05-2023,23,5,2,2023,,Tuesday,0
246,25-05-2023,25,5,2,2023,Eid,Thursday,0
247,28-05-2023,28,5,2,2023,Eid,Sunday,1
248,30-05-2023,30,5,2,2023,,Tuesday,0
249,31-05-2023,31,5,2,2023,Holi,Wednesday,0
250,01-06-2023,1,6,2,2023,,Thursday,0
251,02-06-2023,2,6,2,2023,,Friday,0
252,03-06-2023,3,6,2,2023,Eid,Saturday,1
253,06-06-2023,6,6,2,2023,Eid,Tuesday,0
254,07-06-2023,7,6,2,2023,Diwali,Wednesday,0
255,10-06-2023,10,6,2,2023,Diwali,Saturday,1
256,11-06-2023,11,6,2,2023,Holi,Sunday,1
257,13-06-2023,13,6,2,2023,Eid,Tuesday,0
258,14-06-2023,14,6,2,2023,Eid,Wednesday,0
259,15-06-2023,15,6,2,2023,Eid,Thursday,0
260,16-06-2023,16,6,2,2023,Holi,Friday,0
261,17-06-2023,17,6,2,2023,Eid,Saturday,1
262,21-06-2023,21,6,2,2023,Eid,Wednesday,0
263,25-06-2023,25,6,2,2023,Christmas,Sunday,1
264,28-06-2023,28,6,2,2023,,Wednesday,0
265,30-06-2023,30,6,2,2023,Eid,Friday,0
266,02-07-2023,2,7,3,2023,Eid,Sunday,1
267,05-07-2023,5,7,3,2023,Holi,Wednesday,0
268,06-07-2023,6,7,3,2023,Christmas,Thursday,0
269,10-07-2023,10,7,3,2023,Christmas,Monday,0
270,12-07-2023,12,7,3,2023,,Wednesday,0
271,13-07-2023,13,7,3,2023,Eid,Thursday,0
272,15-07-2023,15,7,3,2023,Christmas,Saturday,1
273,17-07-2023,17,7,3,2023,Holi,Monday,0
274,22-07-2023,22,7,3,2023,Diwali,Saturday,1
275,23-07-2023,23,7,3,2023,Eid,Sunday,1
276,25-07-2023,25,7,3,2023,Christmas,Tuesday,0
277,28-07-2023,28,7,3,2023,,Friday,0
278,01-08-2023,1,8,3,2023,Eid,Tuesday,0
279,05-08-2023,5,8,3,2023,,Saturday,1
280,06-08-2023,6,8,3,2023,Christmas,Sunday,1
281,07-08-2023,7,8,3,2023,Christmas,Monday,0
282,08-08-2023,8,8,3,2023,Holi,Tuesday,0
283,09-08-2023,9,8,3,2023,,Wednesday,0
284,13-08-2023,13,8,3,2023,Diwali,Sunday,1
285,17-08-2023,17,8,3,2023,Eid,Thursday,0
286,18-08-2023,18,8,3,2023,,Friday,0
287,23-08-2023,23,8,3,2023,Diwali,Wednesday,0
288,25-08-2023,25,8,3,2023,Christmas,Friday,0
289,26-08-2023,26,8,3,2023,,Saturday,1
290,28-08-2023,28,8,3,2023,,Monday,0
291,01-09-2023,1,9,3,2023,Holi,Friday,0
292,02-09-2023,2,9,3,2023,Holi,Saturday,1
293,05-09-2023,5,9,3,2023,Holi,Tuesday,0
294,11-09-2023,11,9,3,2023,Christmas,Monday,0
295,13-09-2023,13,9,3,2023,Eid,Wednesday,0
296,14-09-2023,14,9,3,2023,Holi,Thursday,0
297,15-09-2023,15,9,3,2023,Diwali,Friday,0
298,17-09-2023,17,9,3,2023,Eid,Sunday,1
299,20-09-2023,20,9,3,2023,Holi,Wednesday,0
300,23-09-2023,23,9,3,2023,Diwali,Saturday,1
301,27-09-2023,27,9,3,2023,Christmas,Wednesday,0
302,29-09-2023,29,9,3,2023,Eid,Friday,0
303,01-10-2023,1,10,4,2023,Christmas,Sunday,1
304,04-10-2023,4,10,4,2023,,Wednesday,0
305,10-10-2023,10,10,4,2023,Diwali,Tuesday,0
306,15-10-2023,15,10,4,2023,Diwali,Sunday,1
307,16-10-2023,16,10,4,2023,Eid,Monday,0
308,17-10-2023,17,10,4,2023,Holi,Tuesday,0
309,20-10-2023,20,10,4,2023,Christmas,Friday,0
310,23-10-2023,23,10,4,2023,,Monday,0
311,28-10-2023,28,10,4,2023,Eid,Saturday,1
312,31-10-2023,31,10,4,2023,Christmas,Tuesday,0
313,01-11-2023,1,11,4,2023,Eid,Wednesday,0
314,02-11-2023,2,11,4,2023,Holi,Thursday,0
315,12-11-2023,12,11,4,2023,Holi,Sunday,1
316,13-11-2023,13,11,4,2023,Diwali,Monday,0
317,19-11-2023,19,11,4,2023,Diwali,Sunday,1
318,20-11-2023,20,11,4,2023,Holi,Monday,0
319,21-11-2023,21,11,4,2023,Christmas,Tuesday,0
320,23-11-2023,23,11,4,2023,Eid,Thursday,0
321,24-11-2023,24,11,4,2023,Diwali,Friday,0
322,28-11-2023,28,11,4,2023,Christmas,Tuesday,0
323,30-11-2023,30,11,4,2023,,Thursday,0
324,02-12-2023,2,12,4,2023,Holi,Saturday,1
325,04-12-2023,4,12,4,2023,Eid,Monday,0
326,05-12-2023,5,12,4,2023,Eid,Tuesday,0
327,07-12-2023,7,12,4,2023,Christmas,Thursday,0
328,10-12-2023,10,12,4,2023,Christmas,Sunday,1
329,11-12-2023,11,12,4,2023,,Monday,0
330,12-12-2023,12,12,4,2023,Eid,Tuesday,0
331,21-12-2023,21,12,4,2023,Christmas,Thursday,0
332,23-12-2023,23,12,4,2023,,Saturday,1
333,28-12-2023,28,12,4,2023,,Thursday,0
334,29-12-2023,29,12,4,2023,Christmas,Friday,0
335,31-12-2023,31,12,4,2023,Christmas,Sunday,1
336,02-01-2024,2,1,1,2024,,Tuesday,0
337,03-01-2024,3,1,1,2024,Diwali,Wednesday,0
338,06-01-2024,6,1,1,2024,,Saturday,1
339,07-01-2024,7,1,1,2024,Holi,Sunday,1
340,16-01-2024,16,1,1,2024,,Tuesday,0
341,18-01-2024,18,1,1,2024,Diwali,Thursday,0
342,22-01-2024,22,1,1,2024,Christmas,Monday,0
343,25-01-2024,25,1,1,2024,,Thursday,0
344,26-01-2024,26,1,1,2024,,Friday,0
345,29-01-2024,29,1,1,2024,,Monday,0
346,02-02-2024,2,2,1,2024,Diwali,Friday,0
347,04-02-2024,4,2,1,2024,Holi,Sunday,1
348,05-02-2024,5,2,1,2024,,Monday,0
349,06-02-2024,6,2,1,2024,Eid,Tuesday,0
350,07-02-2024,7,2,1,2024,,Wednesday,0
351,08-02-2024,8,2,1,2024,Christmas,Thursday,0
352,09-02-2024,9,2,1,2024,Eid,Friday,0
353,11-02-2024,11,2,1,2024,Holi,Sunday,1
354,13-02-2024,13,2,1,2024,Diwali,Tuesday,0
355,15-02-2024,15,2,1,2024,Holi,Thursday,0
356,16-02-2024,16,2,1,2024,Christmas,Friday,0
357,17-02-2024,17,2,1,2024,Eid,Saturday,1
358,18-02-2024,18,2,1,2024,Christmas,Sunday,1
359,20-02-2024,20,2,1,2024,,Tuesday,0
360,22-02-2024,22,2,1,2024,Eid,Thursday,0
361,24-02-2024,24,2,1,2024,Diwali,Saturday,1
362,26-02-2024,26,2,1,2024,Holi,Monday,0
363,29-02-2024,29,2,1,2024,Eid,Thursday,0
364,02-03-2024,2,3,1,2024,Eid,Saturday,1
365,07-03-2024,7,3,1,2024,Eid,Thursday,0
366,09-03-2024,9,3,1,2024,,Saturday,1
367,10-03-2024,10,3,1,2024,,Sunday,1
368,11-03-2024,11,3,1,2024,Diwali,Monday,0
369,13-03-2024,13,3,1,2024,Christmas,Wednesday,0
370,14-03-2024,14,3,1,2024,Diwali,Thursday,0
371,15-03-2024,15,3,1,2024,Diwali,Friday,0
372,17-03-2024,17,3,1,2024,Eid,Sunday,1
373,20-03-2024,20,3,1,2024,Diwali,Wednesday,0
374,22-03-2024,22,3,1,2024,Eid,Friday,0
375,24-03-2024,24,3,1,2024,,Sunday,1
376,26-03-2024,26,3,1,2024,Holi,Tuesday,0
377,28-03-2024,28,3,1,2024,,Thursday,0
378,30-03-2024,30,3,1,2024,Eid,Saturday,1
379,31-03-2024,31,3,1,2024,Holi,Sunday,1
380,01-04-2024,1,4,2,2024,Diwali,Monday,0
381,03-04-2024,3,4,2,2024,,Wednesday,0
382,06-04-2024,6,4,2,2024,Diwali,Saturday,1
383,07-04-2024,7,4,2,2024,Holi,Sunday,1
384,08-04-2024,8,4,2,2024,,Monday,0
385,10-04-2024,10,4,2,2024,Christmas,Wednesday,0
386,14-04-2024,14,4,2,2024,Holi,Sunday,1
387,16-04-2024,16,4,2,2024,,Tuesday,0
388,18-04-2024,18,4,2,2024,Diwali,Thursday,0
389,19-04-2024,19,4,2,2024,Eid,Friday,0
390,20-04-2024,20,4,2,2024,,Saturday,1
391,25-04-2024,25,4,2,2024,Christmas,Thursday,0
392,27-04-2024,27,4,2,2024,Holi,Saturday,1
393,28-04-2024,28,4,2,2024,,Sunday,1
394,01-05-2024,1,5,2,2024,,Wednesday,0
395,05-05-2024,5,5,2,2024,Christmas,Sunday,1
396,07-05-2024,7,5,2,2024,,Tuesday,0
397,09-05-2024,9,5,2,2024,Christmas,Thursday,0
398,10-05-2024,10,5,2,2024,Eid,Friday,0
399,11-05-2024,11,5,2,2024,Holi,Saturday,1
400,12-05-2024,12,5,2,2024,,Sunday,1
401,14-05-2024,14,5,2,2024,,Tuesday,0
402,18-05-2024,18,5,2,2024,Diwali,Saturday,1
403,19-05-2024,19,5,2,2024,,Sunday,1
404,20-05-2024,20,5,2,2024,Holi,Monday,0
405,26-05-2024,26,5,2,2024,Eid,Sunday,1
406,28-05-2024,28,5,2,2024,Holi,Tuesday,0
407,29-05-2024,29,5,2,2024,Eid,Wednesday,0
408,30-05-2024,30,5,2,2024,Diwali,Thursday,0
409,03-06-2024,3,6,2,2024,Eid,Monday,0
410,04-06-2024,4,6,2,2024,Diwali,Tuesday,0
411,09-06-2024,9,6,2,2024,Diwali,Sunday,1
412,11-06-2024,11,6,2,2024,Diwali,Tuesday,0
413,12-06-2024,12,6,2,2024,Holi,Wednesday,0
414,16-06-2024,16,6,2,2024,,Sunday,1
415,17-06-2024,17,6,2,2024,,Monday,0
416,18-06-2024,18,6,2,2024,Diwali,Tuesday,0
417,20-06-2024,20,6,2,2024,Eid,Thursday,0
418,23-06-2024,23,6,2,2024,Diwali,Sunday,1
419,25-06-2024,25,6,2,2024,Eid,Tuesday,0
420,28-06-2024,28,6,2,2024,Christmas,Friday,0
421,30-06-2024,30,6,2,2024,Christmas,Sunday,1
422,02-07-2024,2,7,3,2024,Eid,Tuesday,0
423,03-07-2024,3,7,3,2024,,Wednesday,0
424,05-07-2024,5,7,3,2024,,Friday,0
425,07-07-2024,7,7,3,2024,Eid,Sunday,1
426,09-07-2024,9,7,3,2024,Eid,Tuesday,0
427,18-07-2024,18,7,3,2024,Diwali,Thursday,0
428,19-07-2024,19,7,3,2024,Eid,Friday,0
429,23-07-2024,23,7,3,2024,,Tuesday,0
430,25-07-2024,25,7,3,2024,Diwali,Thursday,0
431,27-07-2024,27,7,3,2024,Christmas,Saturday,1
432,29-07-2024,29,7,3,2024,Eid,Monday,0
433,30-07-2024,30,7,3,2024,,Tuesday,0
434,01-08-2024,1,8,3,2024,Christmas,Thursday,0
435,04-08-2024,4,8,3,2024,Diwali,Sunday,1
436,05-08-2024,5,8,3,2024,Christmas,Monday,0
437,07-08-2024,7,8,3,2024,,Wednesday,0
438,08-08-2024,8,8,3,2024,,Thursday,0
439,11-08-2024,11,8,3,2024,Christmas,Sunday,1
440,13-08-2024,13,8,3,2024,Christmas,Tuesday,0
441,14-08-2024,14,8,3,2024,Eid,Wednesday,0
442,17-08-2024,17,8,3,2024,Eid,Saturday,1
443,18-08-2024,18,8,3,2024,Diwali,Sunday,1
444,21-08-2024,21,8,3,2024,Diwali,Wednesday,0
445,23-08-2024,23,8,3,2024,Christmas,Friday,0
446,28-08-2024,28,8,3,2024,Holi,Wednesday,0
447,31-08-2024,31,8,3,2024,Holi,Saturday,1
448,06-09-2024,6,9,3,2024,,Friday,0
449,08-09-2024,8,9,3,2024,Holi,Sunday,1
450,11-09-2024,11,9,3,2024,Holi,Wednesday,0
451,12-09-2024,12,9,3,2024,Holi,Thursday,0
452,13-09-2024,13,9,3,2024,,Friday,0
453,14-09-2024,14,9,3,2024,Eid,Saturday,1
454,15-09-2024,15,9,3,2024,Eid,Sunday,1
455,16-09-2024,16,9,3,2024,,Monday,0
456,22-09-2024,22,9,3,2024,Christmas,Sunday,1
457,25-09-2024,25,9,3,2024,Christmas,Wednesday,0
458,26-09-2024,26,9,3,2024,,Thursday,0
459,28-09-2024,28,9,3,2024,Christmas,Saturday,1
460,29-09-2024,29,9,3,2024,Eid,Sunday,1
461,03-10-2024,3,10,4,2024,Eid,Thursday,0
462,05-10-2024,5,10,4,2024,,Saturday,1
463,06-10-2024,6,10,4,2024,,Sunday,1
464,07-10-2024,7,10,4,2024,Holi,Monday,0
465,13-10-2024,13,10,4,2024,Holi,Sunday,1
466,14-10-2024,14,10,4,2024,Holi,Monday,0
467,16-10-2024,16,10,4,2024,Christmas,Wednesday,0
468,23-10-2024,23,10,4,2024,Christmas,Wednesday,0
469,26-10-2024,26,10,4,2024,Christmas,Saturday,1
470,27-10-2024,27,10,4,2024,Diwali,Sunday,1
471,01-11-2024,1,11,4,2024,Diwali,Friday,0
472,09-11-2024,9,11,4,2024,Holi,Saturday,1
473,10-11-2024,10,11,4,2024,Diwali,Sunday,1
474,11-11-2024,11,11,4,2024,Christmas,Monday,0
475,13-11-2024,13,11,4,2024,,Wednesday,0
476,14-11-2024,14,11,4,2024,Diwali,Thursday,0
477,18-11-2024,18,11,4,2024,Holi,Monday,0
478,20-11-2024,20,11,4,2024,Diwali,Wednesday,0
479,21-11-2024,21,11,4,2024,Diwali,Thursday,0
480,22-11-2024,22,11,4,2024,Diwali,Friday,0
481,25-11-2024,25,11,4,2024,Eid,Monday,0
482,28-11-2024,28,11,4,2024,Christmas,Thursday,0
483,29-11-2024,29,11,4,2024,Diwali,Friday,0
