month_id,product_id,total_inflow,total_outflow,average_on_hand,turnover_ratio
12,295,403,168,127,2.42
4,238,622,260,182,1.51
7,24,426,432,131,2.45
1,372,640,106,40,0.54
6,134,725,639,489,1.57
3,344,673,835,81,1.56
4,288,830,222,5,0.99
11,396,676,666,420,1.05
7,444,844,839,166,0.62
2,37,839,822,361,2.14
3,67,649,751,126,2.9
3,242,228,587,178,2.82
11,494,821,910,380,1.0
9,266,530,557,242,1.85
11,337,853,702,222,2.49
4,315,748,186,47,1.33
8,20,498,806,148,0.94
6,478,990,223,183,0.55
1,320,840,833,72,2.35
9,372,889,780,58,1.18
6,178,960,438,90,0.97
11,180,777,754,276,2.75
2,412,297,215,267,2.57
10,251,435,931,420,2.49
3,109,743,680,329,0.64
7,56,887,342,415,2.82
6,305,130,931,65,1.63
9,431,881,384,47,1.14
6,48,767,142,347,2.33
5,386,963,306,372,0.59
3,415,446,182,95,0.87
3,75,562,730,355,1.56
3,387,853,384,458,2.93
3,367,104,867,143,0.58
1,97,507,331,130,0.65
5,176,481,735,37,0.79
3,179,362,104,265,1.25
5,466,909,371,166,1.15
2,398,236,596,411,0.93
7,157,977,508,288,2.26
6,137,159,968,461,2.32
4,453,249,614,181,1.48
10,81,670,383,402,1.85
1,345,862,265,79,1.95
1,167,249,155,210,2.56
2,18,540,881,118,1.55
8,445,998,679,500,2.76
2,141,168,978,184,2.54
1,169,517,993,393,1.86
9,3,503,707,99,1.22
1,154,592,564,393,2.33
11,215,234,135,84,2.25
8,369,805,378,458,0.87
10,497,118,930,86,2.76
7,44,527,394,41,0.98
1,148,840,799,268,0.66
3,427,971,905,181,0.51
12,114,824,809,313,2.42
9,351,265,214,422,0.51
6,3,177,216,165,1.12
11,196,863,931,7,2.93
2,181,362,364,381,0.76
3,3,980,706,146,1.97
1,293,832,333,495,0.64
5,287,927,209,339,1.66
12,376,397,211,82,2.05
2,470,147,946,264,1.83
9,241,530,392,250,2.17
7,4,936,653,241,0.88
7,224,865,670,423,2.26
12,355,789,298,486,0.58
9,492,906,408,333,1.24
2,174,248,596,284,2.82
3,360,604,689,364,0.96
8,34,316,516,482,0.89
6,149,253,150,104,1.53
3,275,965,712,35,1.59
8,168,456,887,272,1.21
12,429,536,605,210,0.97
9,411,657,102,41,1.09
6,135,635,956,341,2.2
12,469,849,674,154,0.79
2,202,612,336,261,0.79
4,23,398,774,37,0.9
8,112,822,179,72,2.76
3,366,701,956,153,2.63
9,139,963,470,314,2.87
6,411,485,549,308,2.84
5,36,524,742,436,0.66
4,60,675,785,57,2.54
11,398,935,996,155,1.37
7,46,640,799,117,2.53
2,342,638,558,378,2.87
5,23,148,834,109,2.27
8,17,426,142,422,2.61
1,126,657,621,441,1.9
10,41,299,211,307,1.81
9,379,151,261,198,2.87
12,494,300,822,276,1.57
11,191,387,619,340,0.74
3,104,866,557,468,1.04
10,342,429,768,38,2.19
12,279,995,650,303,1.52
12,341,242,867,65,2.43
9,262,595,128,274,1.84
2,264,229,807,280,0.84
7,212,580,440,300,2.15
9,37,597,292,480,2.87
2,295,535,610,178,1.78
7,4,346,878,357,2.7
1,310,762,217,55,2.93
8,385,789,879,324,1.21
5,315,212,339,61,1.81
6,165,199,296,23,0.55
3,35,512,843,496,1.8
1,312,257,153,366,1.03
10,117,405,625,97,1.53
5,478,461,893,55,0.66
10,283,748,613,145,2.46
8,137,633,817,393,1.94
3,226,882,444,39,2.11
3,392,123,279,203,1.48
4,116,226,876,193,0.75
8,194,631,704,211,1.42
9,166,606,742,345,2.01
11,218,887,387,485,1.9
6,357,375,498,32,2.38
4,324,126,595,287,1.37
10,292,136,225,351,2.86
12,176,166,450,226,2.2
11,494,480,635,88,1.85
9,33,957,448,363,0.66
9,447,430,705,247,1.93
11,413,840,743,220,2.54
12,443,232,408,40,1.35
7,440,505,469,45,2.53
12,58,736,453,13,2.67
12,88,732,241,333,2.41
10,270,788,690,427,1.5
12,447,234,920,280,0.71
10,248,735,113,472,1.92
8,215,793,397,237,1.52
4,452,215,295,342,1.42
12,232,457,640,150,0.85
5,425,620,276,393,2.16
2,74,231,329,235,1.61
5,213,129,442,425,1.4
3,409,681,634,367,2.85
8,246,499,882,107,1.47
6,9,775,946,50,0.93
5,80,286,227,347,0.66
8,257,538,187,209,2.97
10,291,145,108,272,1.44
3,331,194,163,1,2.6
8,195,999,225,334,0.69
12,20,138,498,334,1.74
10,207,516,150,6,1.5
1,200,444,342,123,1.16
12,324,514,133,151,2.36
4,438,892,429,272,2.12
12,184,598,980,443,0.67
3,263,394,650,53,1.21
1,325,318,405,270,1.17
8,476,654,188,461,2.78
5,66,412,641,409,1.07
5,299,420,896,420,1.78
3,138,333,408,317,2.9
2,405,373,469,226,2.98
4,291,178,763,454,1.76
12,18,861,500,421,1.43
12,100,621,615,283,1.62
3,474,226,764,308,1.05
7,157,254,681,331,2.99
7,147,587,488,390,1.29
7,26,697,482,430,0.9
2,379,752,790,40,0.8
5,167,860,490,93,2.68
2,224,331,812,260,1.13
6,253,305,887,389,1.3
8,69,445,994,89,1.26
1,458,621,184,41,2.37
1,98,858,797,26,2.69
8,190,292,196,498,1.15
1,257,538,480,193,0.86
1,446,526,705,310,2.29
7,251,144,598,158,1.67
8,241,421,648,447,0.73
5,385,895,634,166,1.55
11,387,348,157,284,0.67
1,495,130,375,443,2.95
3,196,863,491,402,2.77
6,130,255,315,475,2.88
1,248,602,468,366,2.64
10,341,657,601,80,0.54
12,10,591,278,348,0.81
10,229,942,956,57,2.18
4,44,466,140,96,0.85
8,469,195,439,444,1.64
8,244,755,925,85,1.01
11,233,921,318,182,0.88
11,142,281,212,94,0.76
11,6,572,198,489,2.6
10,185,859,167,63,2.59
6,368,400,401,23,1.72
1,203,435,998,159,2.03
7,471,397,323,406,1.08
9,249,259,612,335,2.79
1,294,334,973,319,1.93
6,475,178,360,216,2.1
11,283,894,358,149,1.62
12,446,423,566,216,2.18
7,303,685,102,54,2.12
1,174,928,569,21,2.94
6,247,628,477,252,2.0
10,381,611,588,444,0.92
9,236,322,971,397,2.29
6,44,136,251,161,1.24
11,254,698,918,417,1.06
5,476,123,664,157,1.66
11,163,680,299,125,1.85
8,18,789,939,495,0.6
9,85,639,339,20,1.97
6,27,793,627,163,2.18
4,242,503,509,65,2.77
4,132,666,685,203,1.86
4,406,967,550,443,0.75
10,170,314,625,298,1.94
5,326,727,987,201,2.65
7,162,229,831,272,2.18
12,20,160,757,374,2.62
11,178,340,489,455,0.84
10,354,145,776,234,1.76
2,76,311,792,137,1.87
1,13,492,601,487,2.59
7,338,536,663,312,1.31
8,213,125,169,252,2.29
11,173,642,559,464,1.99
3,316,303,971,279,1.27
12,191,322,283,312,1.96
5,332,661,825,386,2.57
12,245,745,850,63,1.71
11,268,848,396,449,0.53
7,306,312,956,219,1.06
6,426,634,189,66,1.53
2,245,461,496,276,2.21
4,169,197,279,110,2.8
12,353,939,260,45,1.4
2,78,959,422,466,1.12
5,251,915,914,424,0.75
4,466,245,391,224,2.33
10,16,985,779,291,2.27
7,113,243,299,301,2.09
12,6,720,914,138,2.52
10,404,784,247,491,1.62
1,134,928,684,440,0.79
3,402,350,894,337,1.33
11,275,449,517,91,0.93
10,111,413,261,276,2.85
4,313,838,600,216,2.75
12,262,892,153,348,2.07
6,273,875,637,190,2.85
7,185,587,857,280,2.88
11,323,835,729,458,2.77
12,389,215,950,207,1.24
10,358,725,929,283,0.58
3,140,341,680,132,1.79
5,162,868,822,292,2.11
2,241,272,315,364,1.67
12,42,268,896,321,2.95
1,264,348,254,471,2.24
3,486,986,281,197,1.98
5,171,854,318,165,2.44
6,422,387,259,262,1.83
2,232,698,649,249,2.68
1,499,592,282,35,1.67
9,224,191,167,44,0.76
9,420,413,674,49,0.99
7,32,782,940,341,1.62
4,312,522,818,493,1.6
6,28,916,455,469,2.82
6,349,511,528,434,1.58
11,63,454,160,201,0.71
10,1,975,429,87,1.7
3,442,848,685,186,2.28
9,60,794,650,291,1.07
12,447,765,817,181,2.68
4,303,734,263,491,0.52
3,72,219,527,307,2.26
12,437,458,804,12,1.12
11,172,337,821,40,2.32
3,186,737,844,197,2.02
4,194,728,573,276,2.75
3,470,418,200,304,0.72
6,4,320,547,243,1.72
8,273,274,394,146,2.02
11,367,582,121,2,2.66
3,399,860,391,398,0.54
3,349,906,849,56,2.49
8,70,415,823,371,1.69
5,244,149,947,294,2.74
9,167,662,413,432,0.74
4,425,818,638,423,1.07
7,437,849,661,421,1.73
5,476,674,506,429,2.22
3,161,480,952,157,0.82
10,21,426,446,238,2.02
1,214,120,869,156,1.59
1,490,465,630,242,1.37
1,237,722,106,324,2.29
5,125,750,318,79,1.91
8,120,991,468,426,0.73
5,291,936,828,38,1.47
9,239,152,885,9,0.59
7,250,715,396,487,1.45
7,379,558,735,439,2.81
6,169,447,486,36,2.07
3,188,461,167,139,2.28
9,433,961,272,140,1.23
2,430,955,331,215,2.21
6,500,931,411,468,2.9
3,432,158,639,359,2.35
3,249,550,155,376,2.64
8,374,102,150,35,0.87
12,185,701,637,41,1.74
12,205,665,824,252,1.0
7,268,821,797,184,1.97
12,34,102,141,177,2.07
4,162,724,377,154,0.65
2,208,194,877,29,2.94
10,376,356,543,356,2.38
8,178,499,273,308,2.13
2,487,783,584,163,1.32
1,320,391,435,150,1.42
9,206,771,689,225,0.67
10,71,232,620,435,0.81
12,150,484,419,6,1.43
11,347,683,921,400,2.43
5,117,470,678,272,2.34
8,338,375,237,450,0.98
8,416,272,154,271,1.21
5,225,723,221,100,0.65
11,389,966,987,415,2.3
4,388,354,826,305,2.82
11,254,161,452,495,1.58
9,390,707,338,438,1.16
5,295,338,811,310,1.08
10,31,941,293,182,2.46
10,145,756,878,241,2.13
4,500,977,831,455,2.97
4,170,341,483,168,2.88
7,158,212,928,441,0.68
8,93,532,277,102,0.95
6,290,817,929,28,0.86
5,48,568,325,141,1.76
12,283,594,298,467,1.51
5,140,165,300,366,2.47
1,181,795,526,441,1.0
12,272,647,871,165,0.75
8,188,681,868,200,2.08
11,45,376,482,396,0.95
9,44,824,320,418,2.52
10,295,167,763,339,1.16
5,332,930,237,276,1.47
11,276,607,643,480,1.36
6,13,945,672,215,2.87
11,431,849,830,486,1.15
8,467,338,826,440,1.55
11,185,414,865,377,1.52
9,209,874,485,4,2.63
9,146,147,216,297,2.54
12,214,368,492,470,2.63
12,158,711,388,139,2.06
1,479,264,545,272,1.13
2,262,104,597,463,0.99
8,351,551,686,334,0.8
3,431,757,204,391,1.93
8,364,315,398,5,1.47
9,243,517,370,409,0.64
4,455,449,420,467,2.28
6,75,339,955,162,1.66
7,290,709,741,237,0.65
8,98,897,484,176,1.61
11,30,609,299,287,2.87
5,494,819,691,411,0.94
1,391,698,212,318,2.1
10,263,195,490,238,1.57
6,233,700,273,473,1.32
11,304,561,722,68,0.88
2,154,155,971,22,1.45
4,300,233,410,486,0.57
1,269,143,790,45,1.43
7,442,944,821,88,1.91
2,287,451,706,183,1.33
11,294,862,295,377,0.88
6,188,778,601,291,1.58
3,293,455,322,187,1.39
5,6,893,532,122,2.96
1,170,898,597,374,1.91
12,115,175,262,325,1.64
