snapshot_id,date_id,product_id,city_id,inventory_on_hand,inventory_reserved,inventory_damaged
476,467,471,7,489,338,41
477,492,268,10,778,203,47
478,103,135,1,870,292,88
479,410,449,10,546,259,49
480,50,62,10,328,329,75
481,9,87,3,968,76,42
482,134,38,7,190,158,80
483,190,13,3,888,98,66
484,413,236,9,932,17,57
485,204,386,2,818,365,32
486,440,273,10,925,354,38
487,180,291,2,614,302,8
488,135,297,5,702,469,21
489,288,61,4,13,83,41
490,207,60,5,361,354,59
491,28,371,7,260,350,74
492,372,197,4,235,278,71
493,332,491,5,392,406,48
494,335,307,8,766,399,60
495,158,418,4,842,122,95
496,216,480,9,566,122,36
497,422,69,6,72,289,54
498,252,150,1,682,159,54
499,151,203,10,803,341,12
500,249,392,1,43,451,94
