supplier_id,supplier_name,supplier_contact,city_id
71,Supplier_71,8045373681,5
72,Supplier_72,9843160541,7
73,Supplier_73,8561837070,8
74,Supplier_74,8220773946,3
75,Supplier_75,8894733376,6
76,Supplier_76,8688120237,3
77,Supplier_77,7135928575,2
78,Supplier_78,8224820112,5
79,Supplier_79,9397686889,10
80,Supplier_80,7755843418,9
81,Supplier_81,8168728371,9
82,Supplier_82,8996875117,1
83,Supplier_83,7930414884,8
84,Supplier_84,7599875716,1
85,Supplier_85,8907595899,6
86,Supplier_86,9863531794,6
87,Supplier_87,8619872799,2
88,Supplier_88,9487127601,7
89,Supplier_89,7805697876,7
90,Supplier_90,7403004724,6
91,Supplier_91,7308753559,3
92,Supplier_92,9161259560,4
93,Supplier_93,9684846718,2
94,Supplier_94,9216736798,1
95,Supplier_95,9102324078,5
96,Supplier_96,7917709026,6
97,Supplier_97,8239608245,6
98,Supplier_98,8389215026,6
99,Supplier_99,8485173036,8
100,Supplier_100,7630536875,7
101,Supplier_101,9012407655,5
102,Supplier_102,8903120343,8
103,Supplier_103,7994474810,8
104,Supplier_104,9070217851,10
105,Supplier_105,7508064948,7
106,Supplier_106,8323956775,2
107,Supplier_107,9542742791,1
108,Supplier_108,7154044631,1
109,Supplier_109,8722877289,5
110,Supplier_110,8533392258,10
111,Supplier_111,9050044985,4
112,Supplier_112,9008822815,9
113,Supplier_113,9685675379,3
114,Supplier_114,9852203322,8
115,Supplier_115,7019387176,10
116,Supplier_116,7866281262,3
117,Supplier_117,8516806431,9
118,Supplier_118,8909549961,3
119,Supplier_119,9930449186,8
120,Supplier_120,8085494850,4
121,Supplier_121,8955882643,7
122,Supplier_122,8894518823,7
123,Supplier_123,7631244976,4
124,Supplier_124,8223345053,5
125,Supplier_125,7975953097,6
126,Supplier_126,9113532045,3
127,Supplier_127,7606588273,10
128,Supplier_128,9484159974,6
129,Supplier_129,8555088232,9
130,Supplier_130,8938542645,10
131,Supplier_131,8046099524,7
132,Supplier_132,8331974861,9
133,Supplier_133,9890338610,5
134,Supplier_134,9640522372,9
135,Supplier_135,8181855317,8
136,Supplier_136,7880643011,10
137,Supplier_137,7981702346,9
138,Supplier_138,7013562736,5
139,Supplier_139,9793452480,9
140,Supplier_140,9961036906,1
141,Supplier_141,8267419473,2
142,Supplier_142,9284022210,1
143,Supplier_143,7732995310,10
144,Supplier_144,7163183561,4
145,Supplier_145,7375870735,3
146,Supplier_146,9528328717,5
147,Supplier_147,8630477504,1
148,Supplier_148,8659429399,10
149,Supplier_149,9034651666,2
150,Supplier_150,9306780788,10
151,Supplier_151,8861471915,4
152,Supplier_152,7770009375,8
153,Supplier_153,8952961673,7
154,Supplier_154,7974028826,8
155,Supplier_155,9516249335,9
156,Supplier_156,8591005561,7
157,Supplier_157,8131225305,5
158,Supplier_158,9962732370,2
159,Supplier_159,8344767784,1
160,Supplier_160,8999114928,9
161,Supplier_161,7815404821,1
162,Supplier_162,8415202565,8
163,Supplier_163,7401985353,3
164,Supplier_164,7254062655,3
165,Supplier_165,7427609569,10
166,Supplier_166,8347091356,1
167,Supplier_167,7338839343,1
168,Supplier_168,8892711758,5
169,Supplier_169,8813747174,7
170,Supplier_170,7509067066,1
171,Supplier_171,7496050944,6
172,Supplier_172,7683495516,10
173,Supplier_173,7629612924,2
174,Supplier_174,8318669123,4
175,Supplier_175,9323048982,10
176,Supplier_176,8171857834,8
177,Supplier_177,9083495229,6
178,Supplier_178,7669065596,2
179,Supplier_179,8643356320,6
180,Supplier_180,8652269432,8
181,Supplier_181,7471606302,3
182,Supplier_182,7772507198,2
183,Supplier_183,7866579722,8
184,Supplier_184,9901889657,7
185,Supplier_185,8077857708,1
186,Supplier_186,9718794108,5
187,Supplier_187,8630430146,9
188,Supplier_188,9016785259,6
189,Supplier_189,8205239519,5
190,Supplier_190,9227058466,7
191,Supplier_191,9746081269,4
192,Supplier_192,9214734739,1
193,Supplier_193,8057321482,4
194,Supplier_194,7735316855,8
195,Supplier_195,8957437601,4
196,Supplier_196,9518501217,5
197,Supplier_197,8979934582,5
198,Supplier_198,9212856732,9
199,Supplier_199,7912861297,3
200,Supplier_200,8025189390,9
201,Supplier_201,8399126881,10
202,Supplier_202,8505832090,2
203,Supplier_203,9565907193,4
204,Supplier_204,9866932566,10
205,Supplier_205,9958166831,6
206,Supplier_206,7122411811,9
207,Supplier_207,7004494532,5
208,Supplier_208,9865276981,10
209,Supplier_209,7592242528,10
210,Supplier_210,9198972464,1
211,Supplier_211,7562742882,1
212,Supplier_212,9981580322,1
213,Supplier_213,9395683547,2
214,Supplier_214,9025426709,8
215,Supplier_215,8748377060,6
216,Supplier_216,9627321284,10
217,Supplier_217,9583678195,8
218,Supplier_218,8318572453,1
219,Supplier_219,8913751136,6
220,Supplier_220,7827468949,10
221,Supplier_221,9391019596,10
222,Supplier_222,7102948469,10
223,Supplier_223,8206713229,4
224,Supplier_224,9453253505,8
225,Supplier_225,8374988298,5
226,Supplier_226,7550807707,9
227,Supplier_227,7475791253,3
228,Supplier_228,9895041255,6
229,Supplier_229,9326744725,2
230,Supplier_230,8910623005,1
231,Supplier_231,9004389828,8
232,Supplier_232,7033260575,3
233,Supplier_233,8727810016,2
234,Supplier_234,8597205510,3
235,Supplier_235,8266164458,8
236,Supplier_236,8190400751,9
237,Supplier_237,7505692797,6
238,Supplier_238,8677144025,1
239,Supplier_239,9916962937,7
240,Supplier_240,9853712778,8
241,Supplier_241,9342696783,8
242,Supplier_242,8427182690,3
243,Supplier_243,8858233157,10
244,Supplier_244,8300176491,2
245,Supplier_245,9004010595,4
246,Supplier_246,9974210213,9
247,Supplier_247,8260457670,10
248,Supplier_248,7918756489,3
249,Supplier_249,7710982905,5
250,Supplier_250,8742330753,1
251,Supplier_251,9877144542,9
252,Supplier_252,8825768690,6
253,Supplier_253,9539205227,2
254,Supplier_254,7247190659,10
255,Supplier_255,7928969832,9
256,Supplier_256,8471355041,4
257,Supplier_257,8845781297,2
258,Supplier_258,9450513122,6
259,Supplier_259,7701338099,8
260,Supplier_260,8714879179,7
261,Supplier_261,7817215523,6
262,Supplier_262,9740699520,8
263,Supplier_263,8213200313,6
264,Supplier_264,9528481088,8
265,Supplier_265,9785299590,3
266,Supplier_266,7531317202,3
267,Supplier_267,7393340219,2
268,Supplier_268,9993332663,3
269,Supplier_269,8012236032,1
270,Supplier_270,9613801071,7
271,Supplier_271,7144645729,5
272,Supplier_272,7998003195,2
273,Supplier_273,9249524272,2
274,Supplier_274,7695011411,2
275,Supplier_275,7303171151,6
276,Supplier_276,9195184266,7
277,Supplier_277,8097091701,5
278,Supplier_278,7566046168,6
279,Supplier_279,9914332881,6
280,Supplier_280,9558585356,2
281,Supplier_281,8384212543,1
282,Supplier_282,8322419154,6
283,Supplier_283,9371161728,2
284,Supplier_284,7747454280,4
285,Supplier_285,9786186723,8
286,Supplier_286,9515544618,8
287,Supplier_287,8812280248,2
288,Supplier_288,9667352637,3
289,Supplier_289,7772337049,1
290,Supplier_290,8539446095,9
291,Supplier_291,9433011426,3
292,Supplier_292,7443060833,9
293,Supplier_293,7249345887,3
294,Supplier_294,7843343491,5
295,Supplier_295,7354732160,8
296,Supplier_296,7952232229,8
297,Supplier_297,9581308380,1
298,Supplier_298,9949205951,9
299,Supplier_299,9563493814,5
300,Supplier_300,7027505559,5
301,Supplier_301,8977532501,7
302,Supplier_302,7439243560,3
303,Supplier_303,8536242312,9
304,Supplier_304,9054071142,1
305,Supplier_305,7244890152,4
306,Supplier_306,7966715460,7
307,Supplier_307,7697610565,3
308,Supplier_308,9612047508,7
309,Supplier_309,7223550350,5
310,Supplier_310,9098467189,10
311,Supplier_311,7538705796,1
312,Supplier_312,7238245730,5
313,Supplier_313,9565198945,1
314,Supplier_314,9079265483,9
315,Supplier_315,8271430115,8
316,Supplier_316,8459754464,6
317,Supplier_317,7008342917,6
318,Supplier_318,9894907883,3
319,Supplier_319,9668544435,10
320,Supplier_320,9556340581,3
321,Supplier_321,9309311843,5
322,Supplier_322,9557311436,3
323,Supplier_323,8966553841,3
324,Supplier_324,8310642008,5
325,Supplier_325,7287510130,4
326,Supplier_326,8038603870,7
327,Supplier_327,7152535626,2
328,Supplier_328,9653686390,8
329,Supplier_329,8280585716,8
330,Supplier_330,7668296224,4
331,Supplier_331,7893948378,6
332,Supplier_332,9869749296,9
333,Supplier_333,8953111746,10
334,Supplier_334,7538926323,4
335,Supplier_335,9887509163,8
336,Supplier_336,7855178980,4
337,Supplier_337,8937477093,7
338,Supplier_338,7962128725,2
339,Supplier_339,8487053516,2
340,Supplier_340,9484181231,3
341,Supplier_341,9612474320,10
342,Supplier_342,9461292697,10
343,Supplier_343,7107577639,6
344,Supplier_344,9415562877,3
345,Supplier_345,9458338984,6
346,Supplier_346,8537692077,8
347,Supplier_347,8044389016,3
348,Supplier_348,9433075563,5
349,Supplier_349,7060457747,5
350,Supplier_350,7332707323,7
351,Supplier_351,9042522216,1
352,Supplier_352,8749285955,3
353,Supplier_353,8670183753,10
354,Supplier_354,7463263795,3
355,Supplier_355,8712402029,4
356,Supplier_356,8530091479,3
357,Supplier_357,9386405209,4
358,Supplier_358,8253292707,7
359,Supplier_359,9582082762,1
360,Supplier_360,7861883205,9
361,Supplier_361,7377558010,8
362,Supplier_362,8365834723,3
363,Supplier_363,7285818188,4
364,Supplier_364,8059762179,4
365,Supplier_365,9408323377,1
366,Supplier_366,8284222218,8
367,Supplier_367,7621760356,6
368,Supplier_368,7092130666,7
369,Supplier_369,8405460849,7
370,Supplier_370,9951534762,7
371,Supplier_371,7313072483,3
372,Supplier_372,9456416827,7
373,Supplier_373,9036183998,2
374,Supplier_374,8170034247,9
375,Supplier_375,9967831222,6
376,Supplier_376,7489898368,8
377,Supplier_377,9098355118,10
378,Supplier_378,9105447865,9
379,Supplier_379,9143581142,10
380,Supplier_380,8369968902,7
381,Supplier_381,7804911033,9
382,Supplier_382,9518498444,5
383,Supplier_383,9775014432,10
384,Supplier_384,9919391704,6
385,Supplier_385,7928624745,3
386,Supplier_386,8631846453,7
387,Supplier_387,7514236756,7
388,Supplier_388,9587892870,4
389,Supplier_389,9315520434,6
390,Supplier_390,8953478062,8
391,Supplier_391,7300791515,8
392,Supplier_392,7299782660,4
393,Supplier_393,7799053669,1
394,Supplier_394,8339419780,8
395,Supplier_395,7682547427,7
396,Supplier_396,9530736981,4
397,Supplier_397,9887407994,10
398,Supplier_398,9592348208,4
399,Supplier_399,9865462759,3
400,Supplier_400,7560083529,3
401,Supplier_401,9417852487,2
402,Supplier_402,8594080376,3
403,Supplier_403,9818148566,9
404,Supplier_404,8933700315,8
405,Supplier_405,7611836069,2
406,Supplier_406,8534783632,4
407,Supplier_407,9380533346,2
408,Supplier_408,9799034945,6
409,Supplier_409,9612193548,2
410,Supplier_410,9580590694,7
411,Supplier_411,7266824724,7
412,Supplier_412,9291827413,9
413,Supplier_413,8798548293,6
414,Supplier_414,7343842469,1
415,Supplier_415,9032614125,6
416,Supplier_416,9955049255,8
417,Supplier_417,9053752119,7
418,Supplier_418,9963678049,2
419,Supplier_419,7045818147,3
420,Supplier_420,8162837969,1
421,Supplier_421,7031017162,6
422,Supplier_422,9639313492,4
423,Supplier_423,9115363973,9
424,Supplier_424,9364799304,10
425,Supplier_425,8706060428,8
426,Supplier_426,7063312282,5
427,Supplier_427,7191473487,5
428,Supplier_428,8663036940,5
429,Supplier_429,9183252088,2
430,Supplier_430,7174534956,10
431,Supplier_431,9524651542,9
432,Supplier_432,8709273862,5
433,Supplier_433,8300768772,8
434,Supplier_434,9899313112,6
435,Supplier_435,9069537560,10
436,Supplier_436,8331467552,7
437,Supplier_437,7241981926,9
438,Supplier_438,9138420955,8
439,Supplier_439,8077555833,10
440,Supplier_440,8569401035,2
441,Supplier_441,8314501443,9
442,Supplier_442,7337850771,8
443,Supplier_443,9273818930,1
444,Supplier_444,9615491457,4
445,Supplier_445,8018274827,4
446,Supplier_446,8233708040,3
447,Supplier_447,8030900472,10
448,Supplier_448,7179352759,6
449,Supplier_449,8944901053,7
450,Supplier_450,9683537875,5
451,Supplier_451,9200569419,9
452,Supplier_452,8299759463,2
453,Supplier_453,9077059845,3
454,Supplier_454,7780826217,9
455,Supplier_455,7193016946,4
456,Supplier_456,8508213921,6
457,Supplier_457,9201479324,1
458,Supplier_458,9251554759,9
459,Supplier_459,9435046338,2
460,Supplier_460,7088762981,10
461,Supplier_461,9187960133,5
462,Supplier_462,7424032986,1
463,Supplier_463,7131492050,9
464,Supplier_464,9680935256,4
465,Supplier_465,7519310137,6
466,Supplier_466,8166207802,4
467,Supplier_467,9708594984,2
468,Supplier_468,8175568868,6
469,Supplier_469,7160486522,6
470,Supplier_470,8296217380,3
471,Supplier_471,9993941522,3
472,Supplier_472,7651037998,7
473,Supplier_473,7756607508,6
474,Supplier_474,7150410353,9
475,Supplier_475,7168326950,1
476,Supplier_476,9909936887,10
477,Supplier_477,8861068569,2
478,Supplier_478,8744247960,6
479,Supplier_479,7210242711,6
480,Supplier_480,9106195993,3
481,Supplier_481,7021984669,5
482,Supplier_482,7265374635,9
483,Supplier_483,8780756474,7
484,Supplier_484,9068251064,4
485,Supplier_485,8476014918,8
486,Supplier_486,9942924044,4
487,Supplier_487,9803559532,10
488,Supplier_488,8589763021,1
489,Supplier_489,7438466834,3
490,Supplier_490,9801472525,7
491,Supplier_491,9737641047,10
492,Supplier_492,7402123045,3
493,Supplier_493,7037587980,1
494,Supplier_494,7955149811,4
495,Supplier_495,7677288198,7
496,Supplier_496,7787005298,5
497,Supplier_497,7225153078,2
498,Supplier_498,7216633129,5
499,Supplier_499,9400497293,5
500,Supplier_500,7345121525,3
